labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.818,0.8,0.836,0,"[0, 0, 0, 0]",0.789,0.832,0.751,0,"[0, 0, 0, 0]",0.786,0.762,0.812,0,"[0, 0, 0, 0]",0.798,0.014,0.798,0.029,0.8,0.036
20,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.265,0.177,0.52,2,"[10, 0, 0, 10]",0.273,0.239,0.318,1,"[10, 0, 0, 10]",0.244,0.241,0.247,2,"[10, 0, 0, 10]",0.261,0.012,0.219,0.03,0.362,0.116
40,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.324,0.216,0.65,2,"[10, 7, 0, 3]",0.199,0.548,0.122,1,"[8, 3, 2, 7]",0.287,0.237,0.362,2,"[10, 5, 0, 5]",0.27,0.052,0.334,0.152,0.378,0.216
60,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.28,0.193,0.51,2,"[10, 10, 0, 0]",0.24,0.582,0.151,1,"[8, 9, 2, 1]",0.263,0.188,0.437,2,"[10, 9, 0, 1]",0.261,0.016,0.321,0.185,0.366,0.155
80,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.431,0.305,0.733,2,"[10, 9, 0, 1]",0.254,0.172,0.48,1,"[8, 10, 2, 0]",0.312,0.273,0.365,2,"[10, 9, 0, 1]",0.332,0.074,0.25,0.057,0.526,0.154
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.421,0.32,0.616,2,"[10, 8, 0, 2]",0.312,0.243,0.435,1,"[10, 9, 0, 1]",0.215,0.387,0.149,2,"[10, 9, 0, 1]",0.316,0.084,0.317,0.059,0.4,0.192
120,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.376,0.384,0.369,2,"[10, 6, 0, 4]",0.376,0.345,0.414,1,"[10, 10, 0, 0]",0.398,0.343,0.473,2,"[10, 10, 0, 0]",0.383,0.01,0.357,0.019,0.419,0.043
140,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.422,0.489,0.371,2,"[10, 6, 0, 4]",0.414,0.547,0.333,1,"[10, 10, 0, 0]",0.34,0.395,0.299,2,"[10, 10, 0, 0]",0.392,0.037,0.477,0.063,0.334,0.029
160,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.572,0.608,0.539,2,"[10, 7, 0, 3]",0.505,0.486,0.525,1,"[10, 10, 0, 0]",0.439,0.495,0.394,2,"[10, 10, 0, 0]",0.505,0.054,0.53,0.056,0.486,0.065
180,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.593,0.578,0.61,2,"[10, 7, 0, 3]",0.558,0.458,0.714,1,"[10, 10, 0, 0]",0.488,0.482,0.495,2,"[10, 10, 0, 0]",0.546,0.044,0.506,0.052,0.606,0.089
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.594,0.561,0.631,2,"[10, 5, 0, 5]",0.551,0.519,0.588,1,"[10, 10, 0, 0]",0.569,0.536,0.608,2,"[10, 10, 0, 0]",0.571,0.018,0.539,0.017,0.609,0.018
220,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.515,0.445,0.61,2,"[10, 2, 0, 8]",0.62,0.588,0.657,1,"[10, 10, 0, 0]",0.597,0.49,0.763,2,"[10, 10, 0, 0]",0.577,0.045,0.508,0.06,0.677,0.064
240,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.637,0.593,0.689,2,"[10, 1, 0, 9]",0.579,0.465,0.768,1,"[10, 9, 0, 1]",0.633,0.563,0.723,2,"[10, 10, 0, 0]",0.616,0.026,0.54,0.055,0.727,0.032
260,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.646,0.598,0.704,2,"[10, 1, 0, 9]",0.587,0.457,0.819,1,"[10, 9, 0, 1]",0.494,0.515,0.475,2,"[10, 9, 0, 1]",0.576,0.063,0.523,0.058,0.666,0.143
280,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.653,0.575,0.755,2,"[10, 1, 0, 9]",0.608,0.536,0.701,1,"[10, 7, 0, 3]",0.554,0.526,0.586,2,"[10, 10, 0, 0]",0.605,0.04,0.546,0.021,0.681,0.07
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.516,0.48,0.559,2,"[10, 1, 0, 9]",0.622,0.537,0.74,1,"[10, 8, 0, 2]",0.577,0.523,0.644,2,"[10, 10, 0, 0]",0.572,0.043,0.513,0.024,0.648,0.074
320,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.664,0.665,0.663,2,"[10, 0, 0, 10]",0.546,0.446,0.701,2,"[10, 7, 0, 3]",0.626,0.522,0.78,2,"[10, 10, 0, 0]",0.612,0.049,0.544,0.091,0.715,0.049
340,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.648,0.589,0.721,2,"[10, 0, 0, 10]",0.606,0.522,0.721,2,"[10, 7, 0, 3]",0.637,0.586,0.697,2,"[10, 4, 0, 6]",0.63,0.018,0.566,0.031,0.713,0.011
360,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.669,0.606,0.746,2,"[10, 1, 0, 9]",0.604,0.503,0.757,2,"[10, 8, 0, 2]",0.661,0.612,0.719,2,"[10, 2, 0, 8]",0.645,0.029,0.574,0.05,0.741,0.016
380,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.678,0.595,0.789,2,"[10, 0, 0, 10]",0.621,0.512,0.787,2,"[10, 8, 0, 2]",0.667,0.642,0.693,2,"[10, 0, 0, 10]",0.655,0.025,0.583,0.054,0.756,0.045
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.685,0.614,0.774,2,"[10, 0, 0, 10]",0.628,0.556,0.721,2,"[10, 5, 0, 5]",0.685,0.609,0.783,2,"[10, 1, 0, 9]",0.666,0.027,0.593,0.026,0.759,0.027
420,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.71,0.647,0.787,2,"[10, 0, 0, 10]",0.638,0.55,0.759,2,"[10, 3, 0, 7]",0.677,0.602,0.774,2,"[10, 0, 0, 10]",0.675,0.029,0.6,0.04,0.773,0.011
