labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.809,0.756,0.87,0,"[0, 0, 0, 0]",0.802,0.768,0.84,0,"[0, 0, 0, 0]",0.808,0.765,0.855,0,"[0, 0, 0, 0]",0.806,0.003,0.763,0.005,0.855,0.012
20,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.272,0.158,0.994,1,"[0, 1, 0, 101]",0.273,0.158,1.0,1,"[0, 10, 0, 207]",0.272,0.158,0.996,1,"[0, 3, 0, 174]",0.272,0.0,0.158,0.0,0.997,0.002
40,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.301,0.229,0.441,4,"[0, 0, 0, 0]",0.055,0.378,0.03,1,"[0, 0, 0, 0]",0.315,0.382,0.269,1,"[0, 0, 0, 0]",0.224,0.119,0.33,0.071,0.247,0.169
60,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.34,0.211,0.883,4,"[0, 0, 0, 0]",0.0,0.0,0.0,1,"[0, 0, 0, 0]",0.0,0.0,0.0,1,"[0, 0, 0, 0]",0.113,0.16,0.07,0.099,0.294,0.416
80,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.354,0.287,0.463,4,"[0, 0, 0, 0]",0.371,0.26,0.644,1,"[0, 0, 0, 0]",0.0,0.0,0.0,1,"[0, 0, 0, 0]",0.242,0.171,0.182,0.129,0.369,0.271
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.526,0.481,0.58,3,"[0, 0, 0, 0]",0.057,0.667,0.03,1,"[0, 0, 0, 0]",0.0,0.0,0.0,1,"[0, 0, 0, 0]",0.194,0.236,0.383,0.281,0.203,0.267
120,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.451,0.442,0.461,3,"[0, 0, 0, 0]",0.14,0.818,0.077,1,"[0, 0, 0, 0]",0.252,0.885,0.147,1,"[0, 0, 0, 0]",0.281,0.129,0.715,0.195,0.228,0.167
140,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.573,0.495,0.68,3,"[0, 0, 0, 0]",0.433,0.435,0.431,1,"[0, 0, 0, 0]",0.322,0.235,0.512,1,"[0, 0, 0, 0]",0.443,0.103,0.388,0.111,0.541,0.104
160,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.549,0.523,0.578,3,"[0, 0, 0, 0]",0.46,0.484,0.439,1,"[0, 0, 0, 0]",0.523,0.609,0.458,1,"[0, 0, 0, 0]",0.511,0.037,0.539,0.052,0.492,0.062
180,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.56,0.503,0.631,3,"[0, 0, 0, 0]",0.365,0.714,0.245,1,"[0, 0, 0, 0]",0.561,0.601,0.527,1,"[24, 0, 1, 0]",0.495,0.092,0.606,0.086,0.468,0.163
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.555,0.445,0.738,3,"[0, 0, 0, 0]",0.463,0.721,0.341,1,"[0, 0, 0, 0]",0.568,0.678,0.488,1,"[0, 0, 0, 0]",0.529,0.047,0.615,0.121,0.522,0.164
220,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.546,0.428,0.755,3,"[0, 0, 0, 0]",0.537,0.68,0.443,1,"[13, 0, 0, 0]",0.466,0.353,0.689,3,"[138, 0, 1, 0]",0.516,0.036,0.487,0.14,0.629,0.134
240,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.621,0.526,0.757,3,"[0, 0, 0, 0]",0.573,0.561,0.584,1,"[25, 0, 0, 0]",0.604,0.646,0.567,1,"[0, 0, 0, 6]",0.599,0.02,0.578,0.05,0.636,0.086
260,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.626,0.533,0.757,3,"[0, 0, 0, 0]",0.503,0.821,0.362,1,"[39, 0, 0, 0]",0.554,0.449,0.725,4,"[297, 0, 3, 15]",0.561,0.05,0.601,0.159,0.615,0.179
280,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.607,0.514,0.742,3,"[0, 0, 0, 0]",0.643,0.602,0.691,1,"[26, 0, 0, 0]",0.595,0.573,0.618,1,"[0, 4, 0, 29]",0.615,0.02,0.563,0.037,0.684,0.051
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.65,0.553,0.787,3,"[1, 1, 0, 1]",0.498,0.358,0.819,2,"[60, 0, 0, 0]",0.597,0.589,0.606,2,"[115, 0, 1, 15]",0.582,0.063,0.5,0.101,0.737,0.094
320,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.626,0.552,0.723,3,"[0, 0, 0, 4]",0.621,0.495,0.832,1,"[0, 0, 0, 0]",0.646,0.635,0.657,1,"[0, 1, 0, 16]",0.631,0.011,0.561,0.057,0.737,0.072
340,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.686,0.602,0.797,3,"[3, 0, 0, 1]",0.643,0.568,0.742,2,"[70, 0, 0, 0]",0.549,0.432,0.753,3,"[122, 0, 0, 2]",0.626,0.057,0.534,0.073,0.764,0.024
360,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.685,0.606,0.789,3,"[1, 0, 0, 3]",0.643,0.547,0.78,1,"[0, 15, 0, 8]",0.625,0.594,0.659,2,"[0, 0, 0, 0]",0.651,0.025,0.582,0.025,0.743,0.059
380,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.719,0.671,0.774,2,"[0, 0, 0, 8]",0.638,0.563,0.736,2,"[56, 2, 0, 1]",0.659,0.602,0.727,2,"[1, 0, 0, 6]",0.672,0.034,0.612,0.045,0.746,0.02
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.672,0.563,0.834,3,"[2, 0, 0, 4]",0.654,0.56,0.787,1,"[0, 0, 0, 2]",0.666,0.619,0.721,2,"[2, 0, 0, 10]",0.664,0.007,0.581,0.027,0.781,0.046
420,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.698,0.603,0.829,3,"[0, 0, 0, 3]",0.658,0.595,0.738,3,"[245, 0, 2, 0]",0.633,0.547,0.751,2,"[0, 1, 0, 9]",0.663,0.027,0.582,0.025,0.773,0.04
440,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.682,0.596,0.797,3,"[0, 0, 0, 4]",0.667,0.586,0.774,1,"[0, 28, 0, 64]",0.675,0.604,0.765,2,"[0, 1, 0, 7]",0.675,0.006,0.595,0.007,0.779,0.013
460,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.744,0.674,0.829,2,"[1, 1, 0, 15]",0.664,0.581,0.776,3,"[162, 0, 0, 0]",0.647,0.577,0.736,2,"[3, 0, 0, 8]",0.685,0.042,0.611,0.045,0.78,0.038
480,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.751,0.686,0.829,2,"[9, 2, 0, 10]",0.688,0.807,0.599,1,"[0, 5, 0, 21]",0.707,0.674,0.744,2,"[0, 0, 0, 0]",0.715,0.026,0.722,0.06,0.724,0.095
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.702,0.677,0.729,3,"[4, 1, 0, 3]",0.613,0.497,0.8,8,"[1249, 1, 3, 9]",0.707,0.658,0.765,2,"[2, 0, 0, 2]",0.674,0.043,0.611,0.081,0.765,0.029
520,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.717,0.674,0.765,3,"[0, 0, 0, 1]",0.638,0.692,0.591,1,"[0, 48, 0, 154]",0.682,0.678,0.687,3,"[229, 0, 0, 23]",0.679,0.032,0.681,0.008,0.681,0.071
540,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.725,0.678,0.78,2,"[0, 0, 0, 6]",0.68,0.678,0.682,4,"[379, 3, 0, 4]",0.718,0.694,0.744,2,"[0, 0, 0, 15]",0.708,0.02,0.683,0.008,0.735,0.04
560,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.716,0.658,0.785,2,"[36, 2, 0, 21]",0.66,0.664,0.657,2,"[0, 3, 0, 6]",0.671,0.544,0.876,2,"[0, 0, 0, 8]",0.682,0.024,0.622,0.055,0.773,0.09
580,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.697,0.668,0.729,2,"[7, 8, 0, 46]",0.655,0.562,0.785,3,"[372, 2, 0, 7]",0.763,0.729,0.802,1,"[0, 2, 0, 85]",0.705,0.044,0.653,0.069,0.772,0.031
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.746,0.74,0.753,2,"[3, 4, 0, 15]",0.734,0.682,0.795,1,"[0, 22, 0, 55]",0.713,0.665,0.77,6,"[692, 0, 0, 0]",0.731,0.014,0.696,0.032,0.773,0.017
620,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.729,0.684,0.78,3,"[226, 4, 0, 10]",0.691,0.67,0.714,5,"[665, 0, 0, 2]",0.671,0.795,0.58,2,"[0, 7, 0, 45]",0.697,0.024,0.716,0.056,0.691,0.083
640,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.773,0.766,0.78,2,"[0, 5, 0, 25]",0.749,0.758,0.74,1,"[0, 3, 0, 67]",0.74,0.78,0.704,2,"[75, 0, 0, 2]",0.754,0.014,0.768,0.009,0.741,0.031
660,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.754,0.741,0.768,2,"[0, 0, 0, 6]",0.661,0.543,0.842,4,"[406, 0, 0, 2]",0.738,0.663,0.834,2,"[0, 0, 0, 8]",0.718,0.041,0.649,0.081,0.815,0.033
680,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.762,0.672,0.878,2,"[8, 0, 0, 2]",0.72,0.816,0.644,1,"[0, 20, 0, 119]",0.769,0.745,0.795,2,"[3, 0, 0, 7]",0.75,0.022,0.744,0.059,0.772,0.097
