labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.82,0.818,0.823,0,0.798,0.735,0.874,0,0.803,0.735,0.885,0,0.807,0.009,0.763,0.039,0.861,0.027
20,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.273,0.158,1.0,1,0.29,0.172,0.923,4,0.258,0.16,0.667,1,0.274,0.013,0.163,0.006,0.863,0.142
40,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.274,0.159,0.998,2,0.345,0.262,0.505,5,0.307,0.193,0.751,3,0.309,0.029,0.205,0.043,0.751,0.201
60,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.281,0.164,0.985,3,0.217,0.533,0.136,4,0.342,0.207,0.985,2,0.28,0.051,0.301,0.165,0.702,0.4
80,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.325,0.201,0.844,4,0.392,0.346,0.452,3,0.325,0.215,0.661,3,0.347,0.032,0.254,0.065,0.652,0.16
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.246,0.168,0.463,4,0.455,0.398,0.531,3,0.29,0.197,0.548,2,0.33,0.09,0.254,0.102,0.514,0.037
120,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.309,0.225,0.495,4,0.548,0.447,0.708,3,0.502,0.388,0.71,2,0.453,0.104,0.353,0.094,0.638,0.101
140,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.316,0.206,0.684,4,0.151,0.83,0.083,2,0.463,0.412,0.527,2,0.31,0.127,0.483,0.26,0.431,0.255
160,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.411,0.273,0.832,4,0.48,0.379,0.655,2,0.576,0.635,0.527,2,0.489,0.068,0.429,0.152,0.671,0.125
180,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.322,0.212,0.674,4,0.573,0.592,0.554,2,0.528,0.66,0.439,2,0.474,0.109,0.488,0.197,0.556,0.096
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.541,0.411,0.791,4,0.541,0.564,0.52,2,0.604,0.541,0.682,2,0.562,0.03,0.505,0.067,0.664,0.111
220,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.469,0.328,0.819,4,0.588,0.549,0.633,2,0.637,0.634,0.64,2,0.565,0.071,0.504,0.129,0.697,0.086
240,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.503,0.39,0.706,4,0.58,0.514,0.665,2,0.585,0.447,0.844,2,0.556,0.038,0.45,0.051,0.738,0.077
260,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.504,0.368,0.802,4,0.621,0.529,0.751,2,0.62,0.501,0.814,2,0.582,0.055,0.466,0.07,0.789,0.027
280,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.462,0.318,0.842,4,0.627,0.526,0.776,2,0.66,0.553,0.819,2,0.583,0.087,0.466,0.105,0.812,0.027
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.551,0.425,0.783,4,0.596,0.475,0.802,2,0.648,0.535,0.823,2,0.598,0.04,0.478,0.045,0.803,0.016
320,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.586,0.469,0.783,4,0.613,0.517,0.753,2,0.676,0.631,0.727,2,0.625,0.038,0.539,0.068,0.754,0.023
340,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.575,0.478,0.721,4,0.615,0.481,0.851,2,0.627,0.553,0.723,3,0.606,0.022,0.504,0.035,0.765,0.061
360,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.605,0.509,0.744,4,0.63,0.526,0.785,2,0.593,0.494,0.742,3,0.609,0.015,0.51,0.013,0.757,0.02
380,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.625,0.525,0.772,3,0.635,0.584,0.695,2,0.697,0.658,0.74,3,0.652,0.032,0.589,0.054,0.736,0.032
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.654,0.641,0.667,3,0.64,0.545,0.776,2,0.649,0.57,0.753,3,0.648,0.006,0.585,0.041,0.732,0.047
420,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.675,0.567,0.834,3,0.665,0.599,0.748,2,0.662,0.601,0.738,3,0.667,0.006,0.589,0.016,0.773,0.043
440,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.675,0.599,0.774,3,0.669,0.594,0.765,2,0.687,0.602,0.802,3,0.677,0.007,0.598,0.003,0.78,0.016
460,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.643,0.532,0.812,3,0.675,0.592,0.785,2,0.714,0.651,0.791,3,0.677,0.029,0.592,0.049,0.796,0.012
480,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.694,0.692,0.695,3,0.723,0.687,0.763,2,0.717,0.633,0.827,3,0.711,0.012,0.671,0.027,0.762,0.054
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.704,0.62,0.814,3,0.676,0.581,0.808,2,0.708,0.671,0.748,3,0.696,0.014,0.624,0.037,0.79,0.03
520,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.653,0.548,0.808,3,0.693,0.616,0.791,2,0.733,0.695,0.774,3,0.693,0.033,0.62,0.06,0.791,0.014
540,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.677,0.646,0.712,3,0.731,0.777,0.691,2,0.687,0.598,0.806,3,0.698,0.023,0.674,0.076,0.736,0.05
560,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.72,0.675,0.772,3,0.694,0.72,0.67,2,0.713,0.761,0.672,3,0.709,0.011,0.719,0.035,0.705,0.048
580,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.719,0.624,0.849,3,0.677,0.573,0.827,2,0.703,0.643,0.776,3,0.7,0.017,0.613,0.03,0.817,0.031
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.715,0.633,0.821,3,0.724,0.732,0.716,2,0.697,0.673,0.723,3,0.712,0.011,0.679,0.041,0.753,0.048
620,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.669,0.547,0.864,3,0.732,0.641,0.853,2,0.727,0.724,0.731,2,0.709,0.029,0.637,0.072,0.816,0.06
640,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.71,0.691,0.729,3,0.752,0.689,0.827,2,0.73,0.665,0.808,2,0.731,0.017,0.682,0.012,0.788,0.042
660,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.747,0.775,0.721,3,0.709,0.62,0.827,2,0.73,0.685,0.783,2,0.729,0.016,0.693,0.064,0.777,0.043
680,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.717,0.633,0.827,3,0.754,0.686,0.838,2,0.739,0.67,0.823,2,0.737,0.015,0.663,0.022,0.829,0.006
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.741,0.695,0.793,3,0.73,0.704,0.757,2,0.749,0.745,0.753,3,0.74,0.008,0.715,0.022,0.768,0.018
720,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.74,0.683,0.808,3,0.714,0.619,0.842,2,0.764,0.722,0.812,2,0.739,0.02,0.675,0.042,0.821,0.015
740,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.721,0.672,0.778,3,0.782,0.785,0.778,2,0.758,0.694,0.834,2,0.754,0.025,0.717,0.049,0.797,0.026
760,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.766,0.775,0.757,3,0.757,0.686,0.844,2,0.804,0.758,0.855,2,0.776,0.02,0.74,0.039,0.819,0.044
780,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.769,0.771,0.768,3,0.773,0.725,0.827,2,0.747,0.731,0.763,2,0.763,0.011,0.742,0.02,0.786,0.029
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.758,0.673,0.868,3,0.733,0.663,0.821,2,0.757,0.793,0.725,2,0.749,0.012,0.71,0.059,0.805,0.06
820,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.735,0.717,0.753,3,0.77,0.763,0.776,2,0.789,0.813,0.768,2,0.765,0.022,0.764,0.039,0.766,0.01
840,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.76,0.767,0.753,3,0.744,0.662,0.849,2,0.784,0.793,0.776,2,0.763,0.016,0.741,0.057,0.793,0.041
860,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.651,0.502,0.928,3,0.783,0.76,0.808,2,0.756,0.688,0.838,2,0.73,0.057,0.65,0.109,0.858,0.051
880,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.76,0.767,0.753,3,0.762,0.718,0.81,2,0.729,0.615,0.893,2,0.75,0.015,0.7,0.063,0.819,0.057
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.743,0.674,0.827,3,0.789,0.728,0.861,2,0.789,0.77,0.808,2,0.774,0.022,0.724,0.039,0.832,0.022
920,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.783,0.749,0.821,3,0.807,0.775,0.842,2,0.804,0.763,0.851,2,0.798,0.011,0.762,0.011,0.838,0.013
940,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.776,0.71,0.855,3,0.815,0.744,0.9,2,0.814,0.811,0.817,2,0.802,0.018,0.755,0.042,0.857,0.034
960,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.775,0.747,0.806,3,0.8,0.807,0.793,2,0.772,0.782,0.763,2,0.782,0.013,0.779,0.025,0.787,0.018
980,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.779,0.736,0.827,3,0.792,0.763,0.823,2,0.8,0.868,0.742,2,0.79,0.009,0.789,0.057,0.797,0.039
1000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.791,0.79,0.793,3,0.798,0.764,0.836,2,0.817,0.777,0.861,2,0.802,0.011,0.777,0.011,0.83,0.028
