# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.300 (0.045),0.807 (0.009),0.798 (0.014),0.818 (0.020),0.806 (0.003)
40,0.352 (0.111),0.274 (0.013),0.261 (0.012),0.091 (0.123),0.272 (0.000)
60,0.287 (0.064),0.309 (0.029),0.270 (0.052),0.187 (0.134),0.224 (0.119)
80,0.312 (0.045),0.280 (0.051),0.261 (0.016),0.359 (0.027),0.113 (0.160)
100,0.288 (0.156),0.347 (0.032),0.332 (0.074),0.387 (0.136),0.242 (0.171)
120,0.257 (0.173),0.330 (0.090),0.316 (0.084),0.460 (0.074),0.194 (0.236)
140,0.535 (0.060),0.453 (0.104),0.383 (0.010),0.479 (0.039),0.281 (0.129)
160,0.567 (0.037),0.310 (0.127),0.392 (0.037),0.536 (0.032),0.443 (0.103)
180,0.520 (0.124),0.489 (0.068),0.505 (0.054),0.573 (0.016),0.511 (0.037)
200,0.592 (0.023),0.474 (0.109),0.546 (0.044),0.553 (0.001),0.495 (0.092)
220,0.572 (0.026),0.562 (0.030),0.571 (0.018),0.599 (0.025),0.529 (0.047)
240,0.600 (0.010),0.565 (0.071),0.577 (0.045),0.589 (0.017),0.516 (0.036)
260,0.633 (0.013),0.556 (0.038),0.616 (0.026),0.620 (0.026),0.599 (0.020)
280,0.616 (0.042),0.582 (0.055),0.576 (0.063),0.612 (0.022),0.561 (0.050)
300,0.636 (0.017),0.583 (0.087),0.605 (0.040),0.604 (0.041),0.615 (0.020)
320,0.670 (0.011),0.598 (0.040),0.572 (0.043),0.630 (0.014),0.582 (0.063)
340,0.626 (0.024),0.625 (0.038),0.612 (0.049),0.618 (0.026),0.631 (0.011)
360,0.669 (0.021),0.606 (0.022),0.630 (0.018),0.648 (0.025),0.626 (0.057)
380,0.671 (0.007),0.609 (0.015),0.645 (0.029),0.626 (0.043),0.651 (0.025)
400,0.684 (0.010),0.652 (0.032),0.655 (0.025),0.638 (0.007),0.672 (0.034)
420,0.688 (0.025),0.648 (0.006),0.666 (0.027),0.651 (0.012),0.664 (0.007)
440,0.696 (0.030),0.667 (0.006),0.675 (0.029),0.642 (0.008),0.663 (0.027)
460,0.691 (0.020),0.677 (0.007),0.671 (0.012),0.643 (0.021),0.675 (0.006)
480,0.695 (0.029),0.677 (0.029),0.701 (0.010),0.673 (0.005),0.685 (0.042)
500,0.697 (0.020),0.711 (0.012),0.712 (0.023),0.675 (0.023),0.715 (0.026)
520,0.704 (0.004),0.696 (0.014),0.718 (0.020),0.675 (0.008),0.674 (0.043)
540,0.739 (0.009),0.693 (0.033),0.730 (0.018),0.692 (0.022),0.679 (0.032)
560,0.697 (0.046),0.698 (0.023),0.708 (0.027),0.697 (0.003),0.708 (0.020)
580,0.725 (0.046),0.709 (0.011),0.728 (0.014),0.703 (0.016),0.682 (0.024)
600,0.739 (0.016),0.700 (0.017),0.724 (0.005),0.689 (0.015),0.705 (0.044)
620,0.728 (0.015),0.712 (0.011),0.740 (0.026),0.714 (0.007),0.731 (0.014)
640,0.730 (0.017),0.709 (0.029),0.735 (0.018),0.713 (0.028),0.697 (0.024)
660,0.750 (0.021),0.731 (0.017),0.750 (0.015),0.711 (0.011),0.754 (0.014)
680,0.769 (0.010),0.729 (0.016),0.737 (0.014),0.711 (0.018),0.718 (0.041)
700,0.749 (0.028),0.737 (0.015),0.764 (0.026),0.731 (0.027),0.750 (0.022)
720,0.766 (0.024),0.740 (0.008),0.768 (0.020),0.740 (0.014),0.722 (0.068)
740,0.740 (0.025),0.739 (0.020),0.769 (0.016),0.734 (0.010),0.720 (0.022)
760,0.767 (0.020),0.754 (0.025),0.786 (0.020),0.765 (0.009),0.731 (0.010)
780,0.739 (0.029),0.776 (0.020),0.769 (0.018),0.753 (0.012),0.764 (0.022)
800,0.760 (0.001),0.763 (0.011),0.770 (0.004),0.746 (0.006),0.757 (0.038)
820,0.773 (0.021),0.749 (0.012),0.774 (0.031),0.775 (0.005),0.759 (0.015)
840,0.792 (0.004),0.765 (0.022),0.763 (0.032),0.770 (0.005),0.752 (0.015)
860,0.781 (0.016),0.763 (0.016),0.794 (0.015),0.763 (0.011),0.771 (0.027)
880,0.779 (0.005),0.730 (0.057),0.769 (0.019),0.775 (0.009),0.758 (0.019)
900,0.782 (0.033),0.750 (0.015),0.790 (0.025),0.769 (0.013),0.772 (0.011)
920,0.784 (0.017),0.774 (0.022),0.798 (0.010),0.776 (0.003),0.761 (0.009)
940,0.808 (0.014),0.798 (0.011),0.791 (0.031),0.786 (0.009),0.786 (0.019)
960,0.810 (0.010),0.802 (0.018),0.801 (0.002),0.792 (0.004),0.792 (0.028)
980,0.809 (0.014),0.782 (0.013),0.791 (0.012),0.799 (0.009),0.792 (0.018)
1000,0.784 (0.022),0.790 (0.009),0.790 (0.014),0.786 (0.034),0.777 (0.018)
1020,0.822 (0.009),0.802 (0.011),0.771 (0.038),0.818 (0.009),0.778 (0.013)
