labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.822,0.788,0.858,0,"[0, 0, 0, 0]",0.834,0.795,0.878,0,"[0, 0, 0, 0]",0.852,0.843,0.861,0,"[0, 0, 0, 0]",0.836,0.012,0.809,0.024,0.866,0.009
20,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.038,0.293,0.02,1,"[8, 0, 2, 10]",0.064,0.187,0.039,1,"[8, 0, 2, 10]",0.368,0.273,0.563,2,"[10, 0, 0, 10]",0.157,0.15,0.251,0.046,0.207,0.252
40,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.308,0.183,0.953,2,"[10, 8, 0, 2]",0.388,0.324,0.482,2,"[9, 9, 1, 1]",0.44,0.325,0.68,2,"[10, 8, 0, 2]",0.379,0.054,0.277,0.067,0.705,0.193
60,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.407,0.271,0.822,2,"[10, 3, 0, 7]",0.351,0.468,0.281,2,"[3, 10, 7, 0]",0.371,0.237,0.856,2,"[10, 8, 0, 2]",0.376,0.023,0.325,0.102,0.653,0.263
80,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.414,0.296,0.684,2,"[10, 5, 0, 5]",0.365,0.381,0.35,2,"[10, 10, 0, 0]",0.354,0.28,0.481,2,"[10, 10, 0, 0]",0.378,0.026,0.319,0.044,0.505,0.137
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.381,0.291,0.548,2,"[10, 1, 0, 9]",0.517,0.494,0.543,2,"[5, 10, 5, 0]",0.436,0.395,0.486,2,"[10, 8, 0, 2]",0.445,0.056,0.393,0.083,0.526,0.028
120,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.477,0.334,0.832,2,"[10, 2, 0, 8]",0.444,0.536,0.379,2,"[10, 6, 0, 4]",0.487,0.397,0.628,2,"[10, 4, 0, 6]",0.469,0.018,0.422,0.084,0.613,0.185
140,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.439,0.317,0.712,2,"[10, 0, 0, 10]",0.36,0.617,0.254,1,"[10, 9, 0, 1]",0.559,0.496,0.64,2,"[10, 7, 0, 3]",0.453,0.082,0.477,0.123,0.535,0.201
160,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.478,0.346,0.773,2,"[10, 1, 0, 9]",0.444,0.584,0.359,1,"[10, 3, 0, 7]",0.579,0.517,0.658,2,"[10, 3, 0, 7]",0.5,0.057,0.482,0.1,0.597,0.174
180,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.541,0.396,0.853,2,"[10, 3, 0, 7]",0.471,0.651,0.369,1,"[10, 8, 0, 2]",0.581,0.48,0.736,2,"[10, 3, 0, 7]",0.531,0.045,0.509,0.106,0.653,0.206
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.552,0.421,0.799,2,"[10, 3, 0, 7]",0.465,0.684,0.352,1,"[10, 9, 0, 1]",0.574,0.468,0.741,2,"[10, 7, 0, 3]",0.53,0.047,0.524,0.115,0.631,0.198
220,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.598,0.484,0.782,2,"[10, 3, 0, 7]",0.537,0.603,0.484,1,"[10, 9, 0, 1]",0.582,0.457,0.802,2,"[10, 4, 0, 6]",0.572,0.026,0.515,0.063,0.689,0.145
240,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.583,0.472,0.761,2,"[10, 1, 0, 9]",0.581,0.589,0.574,1,"[9, 2, 1, 8]",0.597,0.558,0.643,2,"[10, 6, 0, 4]",0.587,0.007,0.54,0.049,0.659,0.077
260,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.621,0.5,0.819,2,"[10, 2, 0, 8]",0.552,0.581,0.526,1,"[10, 1, 0, 9]",0.599,0.513,0.719,2,"[10, 3, 0, 7]",0.591,0.029,0.531,0.036,0.688,0.122
280,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.674,0.597,0.773,2,"[10, 3, 0, 7]",0.474,0.643,0.376,1,"[10, 2, 0, 8]",0.603,0.62,0.587,1,"[10, 4, 0, 6]",0.584,0.083,0.62,0.019,0.579,0.162
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.582,0.453,0.814,2,"[10, 0, 0, 10]",0.589,0.64,0.547,1,"[9, 10, 1, 0]",0.604,0.591,0.618,1,"[10, 4, 0, 6]",0.592,0.009,0.561,0.079,0.66,0.113
320,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.631,0.497,0.865,2,"[10, 3, 0, 7]",0.609,0.673,0.557,1,"[10, 1, 0, 9]",0.658,0.596,0.733,1,"[10, 6, 0, 4]",0.633,0.02,0.589,0.072,0.718,0.126
340,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.652,0.582,0.741,2,"[10, 1, 0, 9]",0.62,0.578,0.668,1,"[10, 3, 0, 7]",0.661,0.605,0.728,1,"[10, 1, 0, 9]",0.644,0.018,0.588,0.012,0.712,0.032
360,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.686,0.593,0.812,2,"[10, 1, 0, 9]",0.654,0.673,0.636,1,"[10, 0, 0, 10]",0.68,0.672,0.689,1,"[10, 2, 0, 8]",0.673,0.014,0.646,0.037,0.712,0.074
380,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.68,0.625,0.746,2,"[10, 1, 0, 9]",0.637,0.645,0.629,1,"[10, 1, 0, 9]",0.671,0.683,0.66,1,"[10, 1, 0, 9]",0.663,0.019,0.651,0.024,0.678,0.049
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.675,0.667,0.684,2,"[10, 1, 0, 9]",0.609,0.664,0.562,1,"[10, 1, 0, 9]",0.716,0.66,0.782,1,"[10, 1, 0, 9]",0.667,0.044,0.664,0.003,0.676,0.09
420,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.721,0.644,0.819,2,"[10, 1, 0, 9]",0.697,0.69,0.704,1,"[10, 1, 0, 9]",0.703,0.627,0.8,1,"[10, 2, 0, 8]",0.707,0.01,0.654,0.027,0.774,0.05
440,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.668,0.541,0.873,2,"[10, 1, 0, 9]",0.619,0.594,0.646,1,"[10, 2, 0, 8]",0.725,0.619,0.873,1,"[10, 2, 0, 8]",0.671,0.043,0.585,0.033,0.797,0.107
460,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.688,0.575,0.858,2,"[10, 0, 0, 10]",0.7,0.703,0.697,1,"[10, 0, 0, 10]",0.762,0.727,0.8,1,"[10, 1, 0, 9]",0.717,0.032,0.668,0.067,0.785,0.067
480,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.71,0.627,0.819,2,"[10, 0, 0, 10]",0.69,0.635,0.755,1,"[10, 0, 0, 10]",0.717,0.643,0.81,1,"[10, 1, 0, 9]",0.706,0.011,0.635,0.007,0.795,0.028
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.682,0.555,0.883,2,"[10, 1, 0, 9]",0.692,0.627,0.773,1,"[10, 0, 0, 10]",0.705,0.637,0.79,1,"[10, 1, 0, 9]",0.693,0.009,0.606,0.037,0.815,0.048
520,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.719,0.603,0.89,2,"[10, 2, 0, 8]",0.733,0.728,0.738,1,"[10, 1, 0, 9]",0.794,0.763,0.827,1,"[10, 4, 0, 6]",0.749,0.033,0.698,0.069,0.818,0.062
540,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.707,0.606,0.848,2,"[10, 1, 0, 9]",0.703,0.762,0.651,1,"[10, 1, 0, 9]",0.763,0.712,0.821,1,"[10, 0, 0, 10]",0.724,0.027,0.693,0.065,0.773,0.087
560,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.724,0.67,0.787,2,"[10, 0, 0, 10]",0.739,0.769,0.711,1,"[10, 1, 0, 9]",0.774,0.74,0.812,1,"[10, 0, 0, 10]",0.746,0.021,0.726,0.042,0.77,0.043
