labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.844,0.831,0.858,0,0.848,0.809,0.89,0,0.823,0.783,0.868,0,0.838,0.011,0.808,0.02,0.872,0.013
20,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.22,0.149,0.423,2,0.185,0.176,0.196,1,0.286,0.167,0.986,2,0.23,0.042,0.164,0.011,0.535,0.332
40,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.29,0.194,0.574,2,0.283,0.546,0.191,1,0.343,0.223,0.748,4,0.305,0.027,0.321,0.16,0.504,0.233
60,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.096,0.909,0.051,2,0.225,0.667,0.135,2,0.223,0.25,0.201,5,0.181,0.06,0.609,0.272,0.129,0.061
80,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.423,0.358,0.514,2,0.374,0.454,0.318,2,0.322,0.229,0.541,4,0.373,0.041,0.347,0.092,0.458,0.099
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.098,0.775,0.052,2,0.297,0.669,0.191,2,0.408,0.277,0.77,5,0.268,0.128,0.574,0.214,0.338,0.311
120,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.173,0.734,0.098,1,0.493,0.462,0.528,2,0.385,0.282,0.607,5,0.35,0.133,0.493,0.186,0.411,0.224
140,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.402,0.679,0.286,1,0.595,0.592,0.597,2,0.44,0.334,0.643,5,0.479,0.083,0.535,0.146,0.509,0.159
160,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.521,0.579,0.474,1,0.448,0.306,0.839,2,0.557,0.529,0.589,4,0.509,0.045,0.471,0.119,0.634,0.152
180,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.565,0.56,0.57,1,0.582,0.498,0.699,2,0.503,0.388,0.717,4,0.55,0.034,0.482,0.071,0.662,0.065
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.545,0.469,0.65,1,0.617,0.527,0.745,2,0.462,0.752,0.333,4,0.541,0.063,0.583,0.122,0.576,0.176
220,dbpedia_viaf,Transfer Learning,dbpedia_dnb,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.623,0.535,0.746,1,0.541,0.583,0.504,2,0.541,0.44,0.702,4,0.568,0.039,0.519,0.059,0.651,0.105
