# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
0,0.311 (0.038),0.838 (0.011),0.855 (0.017),0.836 (0.012),0.852 (0.006)
20,0.378 (0.011),0.230 (0.042),0.338 (0.030),0.157 (0.150),0.279 (0.000)
40,0.403 (0.033),0.305 (0.027),0.324 (0.078),0.379 (0.054),0.281 (0.004)
60,0.416 (0.024),0.181 (0.060),0.313 (0.091),0.376 (0.023),0.130 (0.114)
80,0.465 (0.047),0.373 (0.041),0.325 (0.136),0.378 (0.026),0.310 (0.100)
100,0.459 (0.055),0.268 (0.128),0.429 (0.071),0.445 (0.056),0.197 (0.209)
120,0.486 (0.015),0.350 (0.133),0.414 (0.112),0.469 (0.018),0.371 (0.182)
140,0.426 (0.139),0.479 (0.083),0.493 (0.043),0.453 (0.082),0.261 (0.134)
160,0.547 (0.036),0.509 (0.045),0.502 (0.010),0.500 (0.057),0.422 (0.076)
180,0.589 (0.027),0.550 (0.034),0.553 (0.022),0.531 (0.045),0.464 (0.014)
200,0.582 (0.051),0.541 (0.063),0.559 (0.024),0.530 (0.047),0.480 (0.032)
220,0.565 (0.033),0.568 (0.039),0.599 (0.026),0.572 (0.026),0.556 (0.034)
240,0.623 (0.033),0.611 (0.016),0.645 (0.029),0.587 (0.007),0.562 (0.028)
260,0.624 (0.011),0.610 (0.031),0.620 (0.039),0.591 (0.029),0.561 (0.067)
280,0.634 (0.005),0.634 (0.006),0.655 (0.039),0.584 (0.083),0.525 (0.021)
300,0.658 (0.003),0.666 (0.003),0.656 (0.022),0.592 (0.009),0.598 (0.048)
320,0.655 (0.039),0.673 (0.014),0.646 (0.038),0.633 (0.020),0.566 (0.020)
340,0.671 (0.008),0.704 (0.020),0.692 (0.004),0.644 (0.018),0.618 (0.036)
360,0.724 (0.019),0.669 (0.052),0.710 (0.011),0.673 (0.014),0.581 (0.010)
380,0.703 (0.027),0.680 (0.018),0.730 (0.019),0.663 (0.019),0.570 (0.166)
400,0.731 (0.023),0.728 (0.025),0.715 (0.042),0.667 (0.044),0.552 (0.062)
420,0.733 (0.034),0.711 (0.022),0.727 (0.025),0.707 (0.010),0.600 (0.102)
440,0.755 (0.018),0.738 (0.011),0.758 (0.038),0.671 (0.043),0.628 (0.031)
460,0.747 (0.025),0.730 (0.015),0.760 (0.010),0.717 (0.032),0.723 (0.032)
480,0.776 (0.021),0.760 (0.023),0.739 (0.076),0.706 (0.011),0.656 (0.052)
500,0.784 (0.009),0.769 (0.013),0.747 (0.034),0.693 (0.009),0.743 (0.017)
520,0.772 (0.025),0.784 (0.005),0.782 (0.014),0.749 (0.033),0.706 (0.046)
540,0.782 (0.034),0.780 (0.010),0.779 (0.016),0.724 (0.027),0.723 (0.016)
560,0.786 (0.053),0.777 (0.015),0.765 (0.034),0.746 (0.021),0.763 (0.029)
580,0.787 (0.022),0.766 (0.020),0.797 (0.012),0.746 (0.033),0.749 (0.029)
600,0.783 (0.011),0.770 (0.025),0.742 (0.067),0.757 (0.024),0.755 (0.027)
620,0.803 (0.010),0.758 (0.038),0.814 (0.012),0.795 (0.026),0.772 (0.076)
640,0.824 (0.018),0.791 (0.006),0.818 (0.013),0.791 (0.017),0.745 (0.022)
660,0.805 (0.019),0.799 (0.012),0.836 (0.010),0.771 (0.024),0.806 (0.019)
680,0.815 (0.004),0.822 (0.020),0.832 (0.005),0.797 (0.032),0.775 (0.026)
700,0.830 (0.014),0.814 (0.016),0.835 (0.015),0.802 (0.018),0.788 (0.020)
720,0.822 (0.020),0.815 (0.017),0.814 (0.026),0.793 (0.028),0.810 (0.035)
740,0.825 (0.007),0.832 (0.012),0.841 (0.006),0.799 (0.024),0.826 (0.014)
760,0.840 (0.004),0.832 (0.009),0.841 (0.010),0.815 (0.021),0.817 (0.012)
780,0.834 (0.021),0.826 (0.014),0.858 (0.009),0.817 (0.018),0.803 (0.024)
800,0.844 (0.013),0.820 (0.040),0.840 (0.016),0.819 (0.021),0.839 (0.025)
820,0.847 (0.016),0.844 (0.007),0.824 (0.027),0.814 (0.022),0.816 (0.016)
840,0.848 (0.021),0.837 (0.018),0.829 (0.017),0.834 (0.030),0.831 (0.023)
860,0.848 (0.008),0.847 (0.010),0.857 (0.009),0.823 (0.033),0.838 (0.018)
880,0.843 (0.003),0.842 (0.019),0.869 (0.011),0.832 (0.009),0.823 (0.026)
900,0.851 (0.022),0.862 (0.013),0.862 (0.019),0.840 (0.027),0.851 (0.013)
920,0.855 (0.016),0.845 (0.020),0.865 (0.010),0.861 (0.004),0.842 (0.032)
940,0.864 (0.012),0.841 (0.012),0.866 (0.016),0.841 (0.003),0.852 (0.033)
960,0.853 (0.007),0.859 (0.014),0.877 (0.015),0.851 (0.017),0.857 (0.031)
980,0.865 (0.002),0.867 (0.023),0.878 (0.008),0.853 (0.004),0.854 (0.021)
1000,0.850 (0.001),0.859 (0.005),0.862 (0.022),0.858 (0.004),0.864 (0.016)
