labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.341,0.324,0.36,0,0.455,0.297,0.98,0,0.429,0.273,1.0,0,0.408,0.049,0.298,0.021,0.78,0.297
40,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.432,0.307,0.727,4,0.429,0.273,1.0,9,0.501,0.391,0.697,4,0.454,0.033,0.324,0.05,0.808,0.136
60,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.063,0.556,0.033,4,0.458,0.299,0.977,5,0.463,0.326,0.803,3,0.328,0.187,0.394,0.115,0.604,0.41
80,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.353,0.838,0.223,3,0.461,0.302,0.973,6,0.337,0.567,0.24,3,0.384,0.055,0.569,0.219,0.479,0.35
100,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.191,0.717,0.11,2,0.49,0.345,0.847,6,0.419,0.555,0.337,3,0.367,0.128,0.539,0.152,0.431,0.308
120,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.046,1.0,0.023,1,0.454,0.296,0.977,7,0.539,0.529,0.55,3,0.346,0.215,0.608,0.293,0.517,0.39
140,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.449,0.772,0.317,1,0.443,0.286,0.983,8,0.478,0.513,0.447,3,0.457,0.015,0.524,0.199,0.582,0.288
160,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.412,0.778,0.28,1,0.477,0.329,0.87,10,0.477,0.465,0.49,3,0.455,0.031,0.524,0.188,0.547,0.244
180,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.463,0.773,0.33,1,0.473,0.321,0.9,9,0.515,0.574,0.467,3,0.484,0.023,0.556,0.185,0.566,0.243
200,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.544,0.64,0.473,1,0.457,0.319,0.807,8,0.559,0.533,0.587,3,0.52,0.045,0.497,0.133,0.622,0.139
220,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.426,0.806,0.29,1,0.486,0.344,0.83,8,0.564,0.518,0.62,3,0.492,0.056,0.556,0.191,0.58,0.222
240,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.56,0.76,0.443,1,0.49,0.359,0.77,8,0.551,0.487,0.633,3,0.534,0.031,0.535,0.167,0.615,0.134
260,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.518,0.799,0.383,1,0.524,0.406,0.74,6,0.533,0.484,0.593,3,0.525,0.006,0.563,0.17,0.572,0.146
280,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.54,0.662,0.457,1,0.512,0.391,0.743,6,0.571,0.511,0.647,3,0.541,0.024,0.521,0.111,0.616,0.119
300,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.568,0.67,0.493,1,0.501,0.349,0.89,6,0.562,0.505,0.633,3,0.544,0.03,0.508,0.131,0.672,0.164
320,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.552,0.69,0.46,1,0.555,0.431,0.78,6,0.548,0.519,0.58,3,0.552,0.003,0.547,0.108,0.607,0.132
340,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.55,0.657,0.473,1,0.435,0.279,0.987,6,0.564,0.501,0.643,3,0.516,0.058,0.479,0.155,0.701,0.214
360,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.534,0.764,0.41,1,0.493,0.333,0.95,6,0.52,0.379,0.83,3,0.516,0.017,0.492,0.193,0.73,0.232
380,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.579,0.592,0.567,1,0.522,0.374,0.86,6,0.567,0.522,0.62,3,0.556,0.025,0.496,0.091,0.682,0.127
400,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.598,0.665,0.543,1,0.494,0.377,0.713,6,0.553,0.562,0.543,3,0.548,0.043,0.535,0.119,0.6,0.08
420,cameras,Random Sample 20,,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,0.577,0.627,0.533,1,0.461,0.334,0.74,6,0.558,0.627,0.503,3,0.532,0.051,0.529,0.138,0.592,0.105
