labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.662,0.686,0.64,0,"[0, 0, 0, 0]",0.625,0.634,0.617,0,"[0, 0, 0, 0]",0.633,0.692,0.583,0,"[0, 0, 0, 0]",0.64,0.016,0.671,0.026,0.613,0.023
20,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.437,0.303,0.783,2,"[8, 0, 2, 10]",0.497,0.343,0.903,2,"[9, 4, 1, 6]",0.249,0.657,0.153,1,"[10, 0, 0, 10]",0.394,0.106,0.434,0.158,0.613,0.329
40,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.437,0.295,0.847,3,"[7, 5, 3, 5]",0.202,0.632,0.12,2,"[10, 5, 0, 5]",0.466,0.446,0.487,1,"[10, 4, 0, 6]",0.368,0.118,0.458,0.138,0.485,0.297
60,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.457,0.304,0.913,3,"[7, 6, 3, 4]",0.543,0.439,0.71,2,"[10, 3, 0, 7]",0.063,0.625,0.033,1,"[10, 6, 0, 4]",0.354,0.209,0.456,0.132,0.552,0.376
80,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.421,0.364,0.5,4,"[7, 5, 3, 5]",0.484,0.559,0.427,3,"[10, 5, 0, 5]",0.317,0.819,0.197,1,"[10, 6, 0, 4]",0.407,0.069,0.581,0.186,0.375,0.129
100,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.068,0.5,0.037,3,"[7, 6, 3, 4]",0.404,0.802,0.27,2,"[10, 4, 0, 6]",0.462,0.693,0.347,1,"[10, 7, 0, 3]",0.311,0.174,0.665,0.125,0.218,0.132
120,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.175,0.574,0.103,3,"[7, 4, 3, 6]",0.557,0.454,0.72,2,"[10, 4, 0, 6]",0.432,0.73,0.307,1,"[10, 7, 0, 3]",0.388,0.159,0.586,0.113,0.377,0.257
140,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.506,0.595,0.44,3,"[8, 4, 2, 6]",0.53,0.638,0.453,2,"[10, 4, 0, 6]",0.541,0.702,0.44,1,"[10, 7, 0, 3]",0.526,0.015,0.645,0.044,0.444,0.006
160,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.43,0.653,0.32,2,"[10, 6, 0, 4]",0.474,0.763,0.343,2,"[10, 4, 0, 6]",0.473,0.704,0.357,1,"[10, 6, 0, 4]",0.459,0.021,0.707,0.045,0.34,0.015
180,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.384,0.664,0.27,2,"[10, 5, 0, 5]",0.525,0.658,0.437,2,"[10, 4, 0, 6]",0.525,0.394,0.787,1,"[10, 6, 0, 4]",0.478,0.066,0.572,0.126,0.498,0.215
200,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.458,0.628,0.36,2,"[10, 5, 0, 5]",0.555,0.622,0.5,2,"[10, 4, 0, 6]",0.577,0.709,0.487,1,"[10, 6, 0, 4]",0.53,0.052,0.653,0.04,0.449,0.063
220,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.508,0.579,0.453,2,"[10, 7, 0, 3]",0.617,0.639,0.597,2,"[10, 3, 0, 7]",0.534,0.686,0.437,1,"[9, 7, 1, 3]",0.553,0.046,0.635,0.044,0.496,0.072
240,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.447,0.71,0.327,2,"[8, 7, 2, 3]",0.579,0.639,0.53,2,"[10, 3, 0, 7]",0.522,0.738,0.403,1,"[10, 7, 0, 3]",0.516,0.054,0.696,0.042,0.42,0.084
260,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.453,0.5,0.413,2,"[10, 6, 0, 4]",0.576,0.651,0.517,2,"[10, 3, 0, 7]",0.552,0.649,0.48,1,"[10, 7, 0, 3]",0.527,0.053,0.6,0.071,0.47,0.043
280,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.504,0.552,0.463,2,"[10, 5, 0, 5]",0.6,0.656,0.553,2,"[10, 4, 0, 6]",0.481,0.766,0.35,1,"[10, 6, 0, 4]",0.528,0.052,0.658,0.087,0.455,0.083
300,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.552,0.627,0.493,2,"[9, 5, 1, 5]",0.498,0.79,0.363,2,"[10, 7, 0, 3]",0.566,0.684,0.483,1,"[10, 6, 0, 4]",0.539,0.029,0.7,0.068,0.446,0.059
320,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.522,0.698,0.417,2,"[10, 5, 0, 5]",0.542,0.744,0.427,2,"[10, 7, 0, 3]",0.579,0.676,0.507,1,"[10, 6, 0, 4]",0.548,0.024,0.706,0.028,0.45,0.04
340,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.533,0.752,0.413,2,"[10, 5, 0, 5]",0.581,0.625,0.543,2,"[10, 7, 0, 3]",0.571,0.655,0.507,1,"[10, 5, 0, 5]",0.562,0.021,0.677,0.054,0.488,0.055
360,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.492,0.711,0.377,2,"[10, 5, 0, 5]",0.546,0.665,0.463,2,"[10, 2, 0, 8]",0.554,0.769,0.433,1,"[9, 6, 1, 4]",0.531,0.028,0.715,0.043,0.424,0.036
380,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.564,0.599,0.533,2,"[10, 5, 0, 5]",0.592,0.692,0.517,2,"[10, 3, 0, 7]",0.563,0.696,0.473,1,"[10, 6, 0, 4]",0.573,0.013,0.662,0.045,0.508,0.025
400,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.593,0.629,0.56,2,"[9, 3, 1, 7]",0.617,0.646,0.59,2,"[10, 7, 0, 3]",0.587,0.684,0.513,1,"[9, 6, 1, 4]",0.599,0.013,0.653,0.023,0.554,0.032
420,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.585,0.628,0.547,2,"[10, 2, 0, 8]",0.604,0.733,0.513,2,"[9, 1, 1, 9]",0.567,0.628,0.517,2,"[10, 6, 0, 4]",0.585,0.015,0.663,0.049,0.526,0.015
440,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.559,0.711,0.46,2,"[10, 2, 0, 8]",0.578,0.712,0.487,2,"[10, 1, 0, 9]",0.59,0.641,0.547,2,"[9, 1, 1, 9]",0.576,0.013,0.688,0.033,0.498,0.036
460,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.618,0.669,0.573,2,"[10, 5, 0, 5]",0.633,0.683,0.59,2,"[10, 4, 0, 6]",0.564,0.658,0.493,2,"[10, 2, 0, 8]",0.605,0.03,0.67,0.01,0.552,0.042
480,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.571,0.583,0.56,2,"[10, 6, 0, 4]",0.626,0.752,0.537,2,"[10, 1, 0, 9]",0.612,0.69,0.55,2,"[10, 1, 0, 9]",0.603,0.023,0.675,0.07,0.549,0.009
500,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.614,0.629,0.6,2,"[10, 7, 0, 3]",0.635,0.654,0.617,2,"[10, 7, 0, 3]",0.581,0.558,0.607,2,"[10, 2, 0, 8]",0.61,0.022,0.614,0.041,0.608,0.007
520,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.614,0.587,0.643,2,"[8, 2, 2, 8]",0.636,0.659,0.613,2,"[10, 7, 0, 3]",0.586,0.65,0.533,2,"[10, 3, 0, 7]",0.612,0.02,0.632,0.032,0.596,0.046
540,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.572,0.7,0.483,2,"[10, 7, 0, 3]",0.626,0.619,0.633,2,"[10, 3, 0, 7]",0.599,0.64,0.563,2,"[9, 3, 1, 7]",0.599,0.022,0.653,0.034,0.56,0.061
560,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.595,0.627,0.567,2,"[10, 4, 0, 6]",0.614,0.701,0.547,2,"[10, 7, 0, 3]",0.591,0.668,0.53,2,"[9, 2, 1, 8]",0.6,0.01,0.665,0.03,0.548,0.015
580,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.547,0.668,0.463,2,"[10, 7, 0, 3]",0.598,0.669,0.54,2,"[9, 8, 1, 2]",0.607,0.658,0.563,2,"[10, 2, 0, 8]",0.584,0.026,0.665,0.005,0.522,0.043
600,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.556,0.638,0.493,2,"[10, 7, 0, 3]",0.598,0.632,0.567,2,"[10, 7, 0, 3]",0.603,0.73,0.513,2,"[8, 2, 2, 8]",0.586,0.021,0.667,0.045,0.524,0.031
620,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.632,0.603,0.663,2,"[10, 7, 0, 3]",0.645,0.664,0.627,2,"[10, 6, 0, 4]",0.609,0.616,0.603,2,"[10, 2, 0, 8]",0.629,0.015,0.628,0.026,0.631,0.025
640,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.634,0.664,0.607,2,"[10, 5, 0, 5]",0.623,0.712,0.553,2,"[10, 5, 0, 5]",0.607,0.688,0.543,2,"[10, 1, 0, 9]",0.621,0.011,0.688,0.02,0.568,0.028
660,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.556,0.673,0.473,2,"[10, 5, 0, 5]",0.602,0.592,0.613,2,"[9, 5, 1, 5]",0.599,0.672,0.54,2,"[10, 1, 0, 9]",0.586,0.021,0.646,0.038,0.542,0.057
680,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.614,0.669,0.567,2,"[10, 6, 0, 4]",0.633,0.63,0.637,2,"[10, 7, 0, 3]",0.612,0.679,0.557,2,"[10, 1, 0, 9]",0.62,0.009,0.659,0.021,0.587,0.036
700,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.623,0.678,0.577,2,"[10, 3, 0, 7]",0.618,0.676,0.57,2,"[9, 7, 1, 3]",0.617,0.72,0.54,2,"[10, 1, 0, 9]",0.619,0.003,0.691,0.02,0.562,0.016
720,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.633,0.62,0.647,2,"[10, 6, 0, 4]",0.619,0.696,0.557,2,"[10, 3, 0, 7]",0.606,0.638,0.577,2,"[10, 1, 0, 9]",0.619,0.011,0.651,0.032,0.594,0.039
740,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.631,0.661,0.603,2,"[10, 6, 0, 4]",0.605,0.712,0.527,2,"[10, 5, 0, 5]",0.602,0.665,0.55,2,"[10, 1, 0, 9]",0.613,0.013,0.679,0.023,0.56,0.032
760,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.614,0.636,0.593,2,"[10, 4, 0, 6]",0.615,0.61,0.62,2,"[9, 1, 1, 9]",0.599,0.644,0.56,2,"[10, 1, 0, 9]",0.609,0.007,0.63,0.015,0.591,0.025
780,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.641,0.698,0.593,2,"[9, 4, 1, 6]",0.638,0.694,0.59,2,"[9, 4, 1, 6]",0.617,0.625,0.61,2,"[10, 2, 0, 8]",0.632,0.011,0.672,0.034,0.598,0.009
800,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.666,0.64,0.693,2,"[10, 5, 0, 5]",0.63,0.708,0.567,2,"[10, 2, 0, 8]",0.617,0.745,0.527,2,"[10, 3, 0, 7]",0.638,0.021,0.698,0.043,0.596,0.071
820,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.649,0.598,0.71,2,"[10, 7, 0, 3]",0.59,0.654,0.537,2,"[9, 1, 1, 9]",0.652,0.71,0.603,2,"[10, 1, 0, 9]",0.63,0.029,0.654,0.046,0.617,0.071
840,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.656,0.685,0.63,2,"[10, 6, 0, 4]",0.615,0.692,0.553,2,"[10, 3, 0, 7]",0.646,0.667,0.627,2,"[10, 2, 0, 8]",0.639,0.017,0.681,0.011,0.603,0.036
860,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.636,0.7,0.583,2,"[10, 5, 0, 5]",0.612,0.7,0.543,2,"[10, 2, 0, 8]",0.603,0.71,0.523,2,"[10, 4, 0, 6]",0.617,0.014,0.703,0.005,0.55,0.025
880,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.672,0.649,0.697,2,"[10, 5, 0, 5]",0.638,0.766,0.547,2,"[10, 3, 0, 7]",0.629,0.723,0.557,2,"[10, 0, 0, 10]",0.646,0.019,0.713,0.048,0.6,0.068
900,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.637,0.691,0.59,2,"[10, 8, 0, 2]",0.634,0.675,0.597,2,"[10, 2, 0, 8]",0.661,0.638,0.687,2,"[9, 0, 1, 10]",0.644,0.012,0.668,0.022,0.625,0.044
920,cameras,Transfer Learning,watches,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.656,0.697,0.62,2,"[10, 6, 0, 4]",0.672,0.693,0.653,2,"[10, 4, 0, 6]",0.641,0.726,0.573,2,"[10, 2, 0, 8]",0.656,0.013,0.705,0.015,0.615,0.033
