labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.259,0.16,0.667,0,"[0, 0, 0, 0]",0.256,0.159,0.667,0,"[0, 0, 0, 0]",0.237,0.154,0.511,0,"[0, 0, 0, 0]",0.251,0.01,0.158,0.003,0.615,0.074
20,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.037,0.025,0.067,2,"[0, 7, 0, 0]",0.066,0.125,0.044,1,"[0, 7, 0, 0]",0.274,0.159,0.978,2,"[0, 8, 0, 0]",0.126,0.106,0.103,0.057,0.363,0.435
40,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.316,0.192,0.889,19,"[0, 0, 0, 0]",0.389,0.283,0.622,3,"[0, 0, 0, 0]",0.388,0.298,0.556,9,"[0, 0, 0, 0]",0.364,0.034,0.258,0.047,0.689,0.144
60,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.523,0.375,0.867,8,"[0, 0, 0, 0]",0.503,0.341,0.956,3,"[0, 0, 0, 0]",0.536,0.38,0.911,8,"[0, 0, 0, 0]",0.521,0.014,0.365,0.017,0.911,0.036
80,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.544,0.425,0.756,9,"[0, 0, 0, 0]",0.621,0.471,0.911,3,"[0, 0, 0, 0]",0.364,0.223,1.0,8,"[0, 0, 0, 0]",0.51,0.108,0.373,0.108,0.889,0.101
100,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.656,0.512,0.911,8,"[0, 0, 0, 0]",0.721,0.606,0.889,3,"[0, 0, 0, 0]",0.497,0.345,0.889,10,"[0, 0, 0, 0]",0.625,0.094,0.488,0.108,0.896,0.01
120,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.696,0.571,0.889,8,"[0, 0, 0, 0]",0.734,0.625,0.889,3,"[0, 0, 0, 0]",0.551,0.387,0.956,10,"[0, 0, 0, 0]",0.66,0.079,0.528,0.102,0.911,0.032
140,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.697,0.594,0.844,7,"[0, 0, 0, 5]",0.771,0.656,0.933,3,"[0, 0, 0, 1]",0.624,0.458,0.978,11,"[0, 0, 0, 0]",0.697,0.06,0.569,0.083,0.918,0.056
160,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.762,0.667,0.889,4,"[0, 0, 0, 13]",0.779,0.647,0.978,3,"[0, 0, 0, 5]",0.6,0.442,0.933,9,"[0, 0, 0, 0]",0.714,0.081,0.585,0.102,0.933,0.036
180,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.769,0.678,0.889,4,"[0, 0, 0, 16]",0.843,0.754,0.956,3,"[1, 0, 0, 4]",0.583,0.451,0.822,10,"[0, 0, 0, 0]",0.732,0.109,0.628,0.129,0.889,0.055
200,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.75,0.661,0.867,4,"[0, 0, 0, 16]",0.851,0.768,0.956,3,"[0, 0, 0, 14]",0.764,0.646,0.933,6,"[0, 0, 0, 12]",0.788,0.045,0.692,0.054,0.919,0.038
