labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.221,0.143,0.489,0,"[0, 0, 0, 0]",0.205,0.14,0.378,0,"[0, 0, 0, 0]",0.235,0.16,0.444,0,"[0, 0, 0, 0]",0.22,0.012,0.148,0.009,0.437,0.046
20,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.296,0.194,0.622,2,"[10, 10, 0, 0]",0.293,0.179,0.8,2,"[10, 10, 0, 0]",0.229,0.147,0.511,2,"[10, 10, 0, 0]",0.273,0.031,0.173,0.02,0.644,0.119
40,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.349,0.272,0.489,2,"[10, 10, 0, 0]",0.355,0.228,0.8,2,"[10, 10, 0, 0]",0.209,0.157,0.311,3,"[10, 10, 0, 0]",0.304,0.067,0.219,0.047,0.533,0.202
60,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.351,0.248,0.6,2,"[10, 10, 0, 0]",0.315,0.209,0.644,2,"[10, 2, 0, 8]",0.315,0.27,0.378,2,"[10, 10, 0, 0]",0.327,0.017,0.242,0.025,0.541,0.116
80,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.431,0.352,0.556,2,"[10, 7, 0, 3]",0.376,0.25,0.756,2,"[10, 3, 0, 7]",0.328,0.268,0.422,2,"[10, 10, 0, 0]",0.378,0.042,0.29,0.044,0.578,0.137
100,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.367,0.34,0.4,2,"[10, 9, 0, 1]",0.491,0.336,0.911,2,"[10, 2, 0, 8]",0.39,0.308,0.533,2,"[10, 8, 0, 2]",0.416,0.054,0.328,0.014,0.615,0.216
120,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.482,0.403,0.6,2,"[10, 9, 0, 1]",0.597,0.434,0.956,2,"[10, 4, 0, 6]",0.282,0.3,0.267,2,"[10, 4, 0, 6]",0.454,0.13,0.379,0.057,0.608,0.281
140,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.529,0.474,0.6,2,"[10, 0, 0, 10]",0.558,0.394,0.956,2,"[10, 2, 0, 8]",0.514,0.438,0.622,2,"[10, 6, 0, 4]",0.534,0.018,0.435,0.033,0.726,0.163
160,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.615,0.5,0.8,2,"[10, 5, 0, 5]",0.656,0.506,0.933,2,"[10, 1, 0, 9]",0.508,0.411,0.667,2,"[10, 3, 0, 7]",0.593,0.062,0.472,0.043,0.8,0.109
180,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.652,0.494,0.956,2,"[10, 0, 0, 10]",0.75,0.627,0.933,2,"[10, 5, 0, 5]",0.719,0.594,0.911,2,"[10, 0, 0, 10]",0.707,0.041,0.572,0.057,0.933,0.018
200,wdc_headphones,Transfer Learning,wdc_phones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.688,0.538,0.956,2,"[10, 1, 0, 9]",0.735,0.597,0.956,2,"[10, 0, 0, 10]",0.748,0.614,0.956,2,"[10, 0, 0, 10]",0.724,0.026,0.583,0.033,0.956,0.0
