labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.226,0.129,0.941,0,"[0, 0, 0, 0]",0.225,0.129,0.902,0,"[0, 0, 0, 0]",0.225,0.129,0.882,0,"[0, 0, 0, 0]",0.225,0.0,0.129,0.0,0.908,0.024
20,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.267,0.156,0.902,1,"[0, 19, 0, 1]",0.29,0.171,0.961,1,"[0, 34, 0, 1]",0.31,0.193,0.784,1,"[0, 61, 0, 4]",0.289,0.018,0.173,0.015,0.882,0.074
40,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.208,0.116,1.0,39,"[0, 0, 0, 0]",0.387,0.338,0.451,9,"[0, 0, 0, 0]",0.55,0.517,0.588,6,"[0, 0, 0, 0]",0.382,0.14,0.324,0.164,0.68,0.233
60,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.209,0.117,1.0,24,"[0, 0, 0, 0]",0.476,0.37,0.667,5,"[0, 0, 0, 0]",0.434,0.306,0.745,6,"[0, 0, 0, 0]",0.373,0.117,0.264,0.107,0.804,0.142
80,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.208,0.116,1.0,34,"[0, 0, 0, 0]",0.51,0.394,0.725,3,"[0, 0, 0, 7]",0.551,0.461,0.686,4,"[0, 0, 0, 0]",0.423,0.153,0.324,0.149,0.804,0.14
100,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.368,0.226,0.98,8,"[0, 0, 0, 0]",0.633,0.5,0.863,2,"[1, 0, 0, 11]",0.657,0.511,0.922,5,"[0, 0, 0, 0]",0.553,0.131,0.412,0.132,0.922,0.048
120,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.388,0.241,1.0,9,"[0, 0, 0, 0]",0.756,0.632,0.941,4,"[56, 0, 0, 8]",0.69,0.615,0.784,3,"[0, 0, 0, 17]",0.611,0.16,0.496,0.18,0.908,0.091
140,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.411,0.268,0.882,8,"[0, 0, 0, 3]",0.769,0.682,0.882,2,"[0, 0, 0, 31]",0.729,0.696,0.765,2,"[0, 2, 0, 22]",0.636,0.16,0.549,0.199,0.843,0.055
160,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.509,0.361,0.863,11,"[0, 0, 0, 0]",0.717,0.623,0.843,3,"[37, 0, 0, 19]",0.719,0.597,0.902,4,"[171, 2, 0, 20]",0.648,0.099,0.527,0.118,0.869,0.024
180,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.657,0.53,0.863,5,"[0, 0, 0, 13]",0.756,0.662,0.882,3,"[2, 0, 0, 8]",0.75,0.689,0.824,2,"[0, 0, 0, 39]",0.721,0.045,0.627,0.069,0.856,0.024
200,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0.99,0.706,0.618,0.824,4,"[0, 0, 0, 20]",0.793,0.733,0.863,2,"[1, 0, 0, 22]",0.803,0.712,0.922,4,"[43, 0, 0, 3]",0.767,0.044,0.688,0.05,0.87,0.04
