labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.236,0.136,0.902,0,"[0, 0, 0, 0]",0.22,0.125,0.922,0,"[0, 0, 0, 0]",0.218,0.124,0.922,0,"[0, 0, 0, 0]",0.225,0.008,0.128,0.005,0.915,0.009
20,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.356,0.227,0.824,2,"[9, 9, 1, 1]",0.355,0.22,0.922,2,"[9, 9, 1, 1]",0.329,0.211,0.745,2,"[9, 9, 1, 1]",0.347,0.012,0.219,0.007,0.83,0.072
40,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.371,0.247,0.745,2,"[10, 9, 0, 1]",0.389,0.256,0.804,2,"[10, 10, 0, 0]",0.348,0.231,0.706,2,"[10, 10, 0, 0]",0.369,0.017,0.245,0.01,0.752,0.04
60,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.364,0.25,0.667,2,"[10, 8, 0, 2]",0.361,0.25,0.647,2,"[10, 9, 0, 1]",0.265,0.191,0.431,2,"[10, 10, 0, 0]",0.33,0.046,0.23,0.028,0.582,0.107
80,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.418,0.29,0.745,2,"[10, 9, 0, 1]",0.419,0.286,0.784,2,"[10, 9, 0, 1]",0.346,0.252,0.549,2,"[10, 10, 0, 0]",0.394,0.034,0.276,0.017,0.693,0.103
100,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.478,0.352,0.745,2,"[10, 9, 0, 1]",0.406,0.279,0.745,2,"[10, 3, 0, 7]",0.425,0.301,0.725,2,"[10, 6, 0, 4]",0.436,0.03,0.311,0.031,0.738,0.009
120,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.517,0.366,0.882,2,"[10, 5, 0, 5]",0.56,0.424,0.824,2,"[10, 9, 0, 1]",0.451,0.352,0.627,2,"[10, 2, 0, 8]",0.509,0.045,0.381,0.031,0.778,0.109
140,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.577,0.439,0.843,2,"[10, 5, 0, 5]",0.518,0.37,0.863,2,"[10, 0, 0, 10]",0.487,0.358,0.765,2,"[10, 2, 0, 8]",0.527,0.037,0.389,0.036,0.824,0.042
160,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.635,0.485,0.922,2,"[10, 6, 0, 4]",0.583,0.452,0.824,2,"[10, 2, 0, 8]",0.521,0.4,0.745,2,"[10, 1, 0, 9]",0.58,0.047,0.446,0.035,0.83,0.072
180,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.637,0.512,0.843,2,"[10, 0, 0, 10]",0.619,0.489,0.843,2,"[10, 0, 0, 10]",0.597,0.462,0.843,2,"[10, 5, 0, 5]",0.618,0.016,0.488,0.02,0.843,0.0
200,wdc_phones,Transfer Learning,wdc_headphones,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.639,0.495,0.902,2,"[10, 3, 0, 7]",0.619,0.489,0.843,2,"[10, 1, 0, 9]",0.605,0.5,0.765,2,"[10, 5, 0, 5]",0.621,0.014,0.495,0.004,0.837,0.056
