labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.537,0.433,0.707,0,"[0, 0, 0, 0]",0.522,0.412,0.713,0,"[0, 0, 0, 0]",0.559,0.436,0.777,0,"[0, 0, 0, 0]",0.539,0.015,0.427,0.011,0.732,0.032
20,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.297,0.324,0.273,3,"[10, 4, 0, 6]",0.007,1.0,0.003,2,"[10, 3, 0, 7]",0.451,0.348,0.643,2,"[9, 6, 1, 4]",0.252,0.184,0.557,0.313,0.306,0.262
40,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.333,0.435,0.27,2,"[10, 9, 0, 1]",0.394,0.333,0.483,2,"[10, 6, 0, 4]",0.377,0.414,0.347,2,"[10, 9, 0, 1]",0.368,0.026,0.394,0.044,0.367,0.088
60,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.228,0.479,0.15,2,"[10, 10, 0, 0]",0.026,0.444,0.013,2,"[9, 9, 1, 1]",0.114,0.594,0.063,1,"[9, 6, 1, 4]",0.123,0.083,0.506,0.064,0.075,0.057
80,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.096,0.5,0.053,1,"[10, 5, 0, 5]",0.297,0.389,0.24,2,"[10, 9, 0, 1]",0.208,0.436,0.137,1,"[10, 6, 0, 4]",0.2,0.082,0.442,0.045,0.143,0.076
100,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.131,0.451,0.077,1,"[10, 10, 0, 0]",0.327,0.386,0.283,2,"[10, 6, 0, 4]",0.213,0.351,0.153,1,"[10, 9, 0, 1]",0.224,0.08,0.396,0.041,0.171,0.085
120,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.159,0.284,0.11,1,"[10, 6, 0, 4]",0.272,0.384,0.21,2,"[10, 7, 0, 3]",0.216,0.388,0.15,1,"[10, 7, 0, 3]",0.216,0.046,0.352,0.048,0.157,0.041
140,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.151,0.258,0.107,1,"[10, 7, 0, 3]",0.257,0.495,0.173,2,"[8, 10, 2, 0]",0.221,0.242,0.203,1,"[10, 8, 0, 2]",0.21,0.044,0.332,0.116,0.161,0.04
160,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.143,0.304,0.093,1,"[9, 7, 1, 3]",0.107,0.339,0.063,1,"[10, 6, 0, 4]",0.206,0.301,0.157,1,"[10, 8, 0, 2]",0.152,0.041,0.315,0.017,0.104,0.039
180,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.261,0.322,0.22,1,"[10, 9, 0, 1]",0.204,0.375,0.14,1,"[10, 8, 0, 2]",0.281,0.399,0.217,1,"[9, 9, 1, 1]",0.249,0.033,0.365,0.032,0.192,0.037
200,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.171,0.28,0.123,1,"[8, 1, 2, 9]",0.21,0.32,0.157,1,"[10, 8, 0, 2]",0.333,0.364,0.307,1,"[8, 10, 2, 0]",0.238,0.069,0.321,0.034,0.196,0.08
220,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,True,0,0.275,0.343,0.23,1,"[9, 8, 1, 2]",0.142,0.266,0.097,1,"[10, 7, 0, 3]",0.362,0.349,0.377,1,"[10, 7, 0, 3]",0.26,0.09,0.319,0.038,0.235,0.114
