labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.536,0.422,0.737,0,"[0, 0, 0, 0]",0.522,0.41,0.717,0,"[0, 0, 0, 0]",0.569,0.439,0.81,0,"[0, 0, 0, 0]",0.542,0.02,0.424,0.012,0.755,0.04
20,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.185,0.507,0.113,2,"[10, 4, 0, 6]",0.432,0.419,0.447,2,"[8, 2, 2, 8]",0.349,0.341,0.357,2,"[6, 4, 4, 6]",0.322,0.103,0.422,0.068,0.306,0.141
40,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.019,0.273,0.01,2,"[10, 8, 0, 2]",0.417,0.283,0.79,3,"[2, 5, 8, 5]",0.47,0.32,0.89,3,"[6, 8, 4, 2]",0.302,0.201,0.292,0.02,0.563,0.393
60,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.189,0.246,0.153,2,"[10, 6, 0, 4]",0.281,0.391,0.22,3,"[2, 8, 8, 2]",0.475,0.353,0.723,4,"[9, 7, 1, 3]",0.315,0.119,0.33,0.061,0.365,0.254
80,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.258,0.373,0.197,2,"[10, 7, 0, 3]",0.407,0.356,0.477,3,"[2, 8, 8, 2]",0.41,0.482,0.357,4,"[10, 7, 0, 3]",0.358,0.071,0.404,0.056,0.344,0.115
100,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.173,0.525,0.103,2,"[10, 6, 0, 4]",0.384,0.34,0.44,3,"[3, 8, 7, 2]",0.409,0.377,0.447,3,"[9, 7, 1, 3]",0.322,0.106,0.414,0.08,0.33,0.161
120,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.171,0.25,0.13,2,"[10, 5, 0, 5]",0.131,0.358,0.08,3,"[10, 10, 0, 0]",0.418,0.604,0.32,3,"[10, 7, 0, 3]",0.24,0.127,0.404,0.148,0.177,0.103
140,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.317,0.443,0.247,2,"[10, 6, 0, 4]",0.374,0.401,0.35,3,"[9, 10, 1, 0]",0.377,0.423,0.34,3,"[9, 7, 1, 3]",0.356,0.028,0.422,0.017,0.312,0.046
160,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.075,0.6,0.04,2,"[10, 6, 0, 4]",0.209,0.364,0.147,2,"[9, 10, 1, 0]",0.376,0.393,0.36,3,"[9, 7, 1, 3]",0.22,0.123,0.452,0.105,0.182,0.133
180,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.183,0.479,0.113,2,"[10, 6, 0, 4]",0.249,0.495,0.167,2,"[9, 10, 1, 0]",0.519,0.452,0.61,3,"[9, 6, 1, 4]",0.317,0.145,0.475,0.018,0.297,0.223
200,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.321,0.486,0.24,2,"[10, 3, 0, 7]",0.199,0.284,0.153,2,"[10, 10, 0, 0]",0.367,0.353,0.383,3,"[9, 6, 1, 4]",0.296,0.071,0.374,0.084,0.259,0.095
220,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.258,0.575,0.167,2,"[10, 3, 0, 7]",0.279,0.356,0.23,2,"[10, 10, 0, 0]",0.418,0.498,0.36,3,"[9, 6, 1, 4]",0.318,0.071,0.476,0.091,0.252,0.08
240,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.294,0.429,0.223,2,"[10, 4, 0, 6]",0.273,0.316,0.24,2,"[10, 10, 0, 0]",0.142,0.298,0.093,3,"[10, 6, 0, 4]",0.236,0.067,0.348,0.058,0.185,0.066
260,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.294,0.379,0.24,2,"[10, 4, 0, 6]",0.23,0.373,0.167,2,"[10, 9, 0, 1]",0.322,0.384,0.277,3,"[10, 6, 0, 4]",0.282,0.039,0.379,0.004,0.228,0.046
280,watches,Transfer Learning,cameras,50,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,0.294,0.471,0.213,2,"[10, 6, 0, 4]",0.231,0.294,0.19,2,"[10, 9, 0, 1]",0.392,0.421,0.367,3,"[8, 6, 2, 4]",0.306,0.066,0.395,0.075,0.257,0.079
