# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_da_to_ls,al_tl_da_thresh
20,0.392 (0.026),0.558 (0.014),0.542 (0.020),0.539 (0.015),0.515 (0.009)
40,0.303 (0.089),0.269 (0.080),0.322 (0.103),0.252 (0.184),0.429 (0.000)
60,0.410 (0.038),0.372 (0.048),0.302 (0.201),0.368 (0.026),0.399 (0.078)
80,0.366 (0.087),0.413 (0.019),0.315 (0.119),0.123 (0.083),0.183 (0.168)
100,0.486 (0.034),0.278 (0.197),0.358 (0.071),0.200 (0.082),0.260 (0.089)
120,0.415 (0.042),0.119 (0.020),0.322 (0.106),0.224 (0.080),0.202 (0.163)
140,0.297 (0.107),0.217 (0.140),0.240 (0.127),0.216 (0.046),0.190 (0.138)
160,0.299 (0.150),0.223 (0.103),0.356 (0.028),0.210 (0.044),0.252 (0.041)
180,0.322 (0.112),0.192 (0.049),0.220 (0.123),0.152 (0.041),0.275 (0.200)
200,0.314 (0.159),0.206 (0.086),0.317 (0.145),0.249 (0.033),0.262 (0.100)
220,0.273 (0.127),0.212 (0.089),0.296 (0.071),0.238 (0.069),0.221 (0.144)
240,0.324 (0.082),0.289 (0.043),0.318 (0.071),0.260 (0.090),0.279 (0.113)
260,0.277 (0.156),0.157 (0.097),0.236 (0.067),0.217 (0.031),0.291 (0.155)
280,0.376 (0.065),0.232 (0.065),0.282 (0.039),0.203 (0.063),0.307 (0.158)
300,0.291 (0.099),0.212 (0.043),0.306 (0.066),0.240 (0.050),0.397 (0.094)
320,0.311 (0.110),0.327 (0.104),0.312 (0.103),0.232 (0.045),0.405 (0.086)
340,0.436 (0.023),0.343 (0.034),0.311 (0.043),0.242 (0.026),0.343 (0.117)
360,0.387 (0.075),0.291 (0.107),0.364 (0.049),0.256 (0.098),0.377 (0.031)
380,0.326 (0.079),0.392 (0.041),0.322 (0.066),0.279 (0.045),0.360 (0.037)
400,0.347 (0.089),0.365 (0.049),0.369 (0.025),0.231 (0.009),0.381 (0.043)
420,0.340 (0.114),0.402 (0.034),0.375 (0.029),0.288 (0.028),0.375 (0.043)
440,0.422 (0.036),0.362 (0.059),0.324 (0.010),0.303 (0.034),0.376 (0.018)
460,0.371 (0.046),0.430 (0.020),0.386 (0.011),0.314 (0.038),0.343 (0.036)
480,0.428 (0.023),0.366 (0.032),0.380 (0.041),0.334 (0.066),0.362 (0.010)
500,0.417 (0.048),0.404 (0.085),0.358 (0.045),0.371 (0.047),0.387 (0.007)
520,0.442 (0.047),0.415 (0.050),0.394 (0.058),0.317 (0.022),0.402 (0.020)
540,0.452 (0.048),0.412 (0.085),0.454 (0.013),0.349 (0.064),0.441 (0.045)
560,0.480 (0.021),0.464 (0.051),0.396 (0.050),0.340 (0.040),0.409 (0.032)
580,0.478 (0.027),0.449 (0.055),0.409 (0.043),0.328 (0.011),0.449 (0.036)
600,0.428 (0.046),0.387 (0.103),0.406 (0.027),0.360 (0.059),0.447 (0.037)
620,0.486 (0.024),0.432 (0.070),0.380 (0.013),0.362 (0.056),0.453 (0.023)
640,0.496 (0.027),0.455 (0.059),0.406 (0.042),0.390 (0.031),0.428 (0.018)
660,0.465 (0.036),0.433 (0.051),0.430 (0.017),0.365 (0.040),0.443 (0.053)
680,0.474 (0.014),0.364 (0.019),0.430 (0.031),0.368 (0.026),0.419 (0.001)
700,0.486 (0.046),0.425 (0.026),0.400 (0.020),0.376 (0.022),0.476 (0.010)
720,0.475 (0.034),0.426 (0.027),0.378 (0.042),0.367 (0.014),0.462 (0.030)
740,0.459 (0.042),0.398 (0.028),0.481 (0.030),0.380 (0.040),0.458 (0.042)
760,0.490 (0.049),0.461 (0.029),0.437 (0.089),0.410 (0.035),0.466 (0.044)
780,0.483 (0.022),0.442 (0.054),0.438 (0.045),0.367 (0.032),0.448 (0.043)
800,0.452 (0.045),0.448 (0.040),0.464 (0.032),0.382 (0.001),0.466 (0.052)
820,0.477 (0.056),0.467 (0.030),0.475 (0.009),0.376 (0.035),0.473 (0.018)
840,0.484 (0.028),0.431 (0.069),0.483 (0.038),0.381 (0.018),0.432 (0.035)
860,0.497 (0.034),0.479 (0.028),0.443 (0.005),0.411 (0.047),0.442 (0.033)
880,0.511 (0.033),0.476 (0.053),0.468 (0.031),0.433 (0.019),0.479 (0.045)
900,0.505 (0.064),0.469 (0.034),0.470 (0.003),0.424 (0.020),0.483 (0.038)
920,0.492 (0.019),0.485 (0.068),0.473 (0.028),0.405 (0.021),0.451 (0.006)
940,0.507 (0.032),0.511 (0.021),0.515 (0.018),0.424 (0.051),0.482 (0.054)
960,0.520 (0.016),0.472 (0.014),0.469 (0.023),0.430 (0.005),0.461 (0.013)
980,0.520 (0.015),0.456 (0.031),0.478 (0.020),0.433 (0.011),0.469 (0.018)
1000,0.535 (0.014),0.476 (0.033),0.507 (0.002),0.420 (0.014),0.473 (0.027)
1020,0.517 (0.009),0.485 (0.016),0.480 (0.016),0.426 (0.008),0.533 (0.009)
