labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.299,0.202,0.577,0,0.337,0.223,0.686,0,0.323,0.22,0.609,0,0.32,0.016,0.215,0.009,0.624,0.046
100,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.346,0.293,0.423,5,0.379,0.306,0.5,5,0.392,0.316,0.518,6,0.372,0.019,0.305,0.009,0.48,0.041
200,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.378,0.418,0.345,5,0.399,0.308,0.568,3,0.386,0.314,0.5,4,0.388,0.009,0.347,0.05,0.471,0.093
300,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.389,0.452,0.341,4,0.447,0.334,0.677,4,0.43,0.433,0.427,4,0.422,0.024,0.406,0.052,0.482,0.143
400,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.456,0.425,0.491,3,0.488,0.458,0.523,4,0.454,0.473,0.436,3,0.466,0.016,0.452,0.02,0.483,0.036
500,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.466,0.468,0.464,3,0.492,0.518,0.468,4,0.414,0.528,0.341,3,0.457,0.032,0.505,0.026,0.424,0.059
600,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.465,0.532,0.414,3,0.535,0.522,0.55,3,0.45,0.538,0.386,3,0.483,0.037,0.531,0.007,0.45,0.072
700,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.505,0.485,0.527,3,0.531,0.549,0.514,3,0.484,0.482,0.486,3,0.507,0.019,0.505,0.031,0.509,0.017
800,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.492,0.572,0.432,3,0.625,0.658,0.595,3,0.485,0.56,0.427,3,0.534,0.064,0.597,0.044,0.485,0.078
900,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.524,0.617,0.455,3,0.599,0.611,0.586,3,0.54,0.558,0.523,3,0.554,0.032,0.595,0.027,0.521,0.053
