labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.311,0.207,0.623,0,"[0, 0, 0, 0]",0.307,0.208,0.582,0,"[0, 0, 0, 0]",0.296,0.194,0.623,0,"[0, 0, 0, 0]",0.305,0.006,0.203,0.006,0.609,0.019
100,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.332,0.267,0.436,2,"[50, 38, 0, 12]",0.36,0.288,0.477,2,"[44, 39, 6, 11]",0.308,0.275,0.35,2,"[47, 34, 3, 16]",0.333,0.021,0.277,0.009,0.421,0.053
200,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.317,0.284,0.359,3,"[48, 38, 2, 12]",0.361,0.343,0.382,2,"[48, 31, 2, 19]",0.31,0.385,0.259,2,"[48, 34, 2, 16]",0.329,0.023,0.337,0.041,0.333,0.053
300,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.358,0.352,0.364,3,"[49, 37, 1, 13]",0.379,0.343,0.423,2,"[47, 35, 3, 15]",0.32,0.477,0.241,2,"[42, 24, 8, 26]",0.352,0.024,0.391,0.061,0.343,0.076
400,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.351,0.366,0.336,3,"[49, 35, 1, 15]",0.42,0.442,0.4,3,"[50, 27, 0, 23]",0.395,0.522,0.318,2,"[45, 20, 5, 30]",0.389,0.029,0.443,0.064,0.351,0.035
500,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.392,0.445,0.35,3,"[50, 33, 0, 17]",0.425,0.409,0.441,3,"[48, 29, 2, 21]",0.423,0.547,0.345,2,"[43, 22, 7, 28]",0.413,0.015,0.467,0.058,0.379,0.044
600,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.387,0.457,0.336,3,"[50, 25, 0, 25]",0.509,0.468,0.559,3,"[47, 30, 3, 22]",0.436,0.565,0.355,2,"[43, 14, 7, 36]",0.444,0.05,0.497,0.049,0.417,0.101
700,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.453,0.495,0.418,3,"[44, 26, 6, 24]",0.496,0.517,0.477,3,"[49, 27, 1, 25]",0.505,0.548,0.468,2,"[44, 19, 6, 33]",0.485,0.023,0.52,0.022,0.454,0.026
800,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.436,0.579,0.35,3,"[46, 22, 4, 28]",0.457,0.517,0.409,3,"[48, 26, 2, 26]",0.494,0.568,0.436,2,"[49, 9, 1, 43]",0.462,0.024,0.555,0.027,0.398,0.036
900,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.489,0.64,0.395,2,"[46, 20, 4, 30]",0.485,0.502,0.468,3,"[46, 19, 6, 33]",0.53,0.618,0.464,2,"[49, 9, 1, 41]",0.501,0.02,0.587,0.061,0.442,0.034
