labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.289,0.34,0.251,0,0.323,0.392,0.274,0,0.325,0.358,0.297,0,0.312,0.017,0.363,0.022,0.274,0.019
100,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.01715462031107045, 0.9828453796889296]",0.412,0.47,0.367,2,0.394,0.503,0.324,3,0.391,0.533,0.309,2,0.399,0.009,0.502,0.026,0.333,0.025
200,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.033730604902181244, 0.9662693950978187]",0.485,0.612,0.402,2,0.418,0.517,0.351,2,0.412,0.604,0.313,2,0.438,0.033,0.578,0.043,0.355,0.036
300,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.049756744803184434, 0.9502432551968155]",0.432,0.698,0.313,2,0.498,0.555,0.452,2,0.429,0.62,0.328,2,0.453,0.032,0.624,0.058,0.364,0.062
400,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06525995214270176, 0.9347400478572983]",0.463,0.639,0.363,2,0.456,0.593,0.371,2,0.484,0.617,0.398,2,0.468,0.012,0.616,0.019,0.377,0.015
500,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.0802654109589041, 0.9197345890410958]",0.52,0.681,0.421,2,0.511,0.649,0.421,2,0.465,0.703,0.347,2,0.499,0.024,0.678,0.022,0.396,0.035
600,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.09479671371392459, 0.9052032862860754]",0.557,0.667,0.479,2,0.569,0.67,0.494,2,0.528,0.72,0.417,2,0.551,0.017,0.686,0.024,0.463,0.033
700,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.10887598506843633, 0.8911240149315637]",0.621,0.692,0.564,2,0.595,0.668,0.537,2,0.611,0.679,0.556,1,0.609,0.011,0.68,0.01,0.552,0.011
800,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.1225239942822136, 0.8774760057177864]",0.628,0.709,0.564,2,0.606,0.667,0.556,2,0.605,0.789,0.49,2,0.613,0.011,0.722,0.051,0.537,0.033
900,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.13576025744167336, 0.8642397425583266]",0.641,0.735,0.568,2,0.618,0.701,0.552,2,0.617,0.706,0.548,2,0.625,0.011,0.714,0.015,0.556,0.009
1000,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.1486031305726174, 0.8513968694273826]",0.668,0.75,0.602,2,0.628,0.736,0.548,2,0.672,0.755,0.606,2,0.656,0.02,0.747,0.008,0.585,0.026
1100,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.16106989457243265, 0.8389301054275674]",0.671,0.764,0.598,2,0.661,0.769,0.579,2,0.684,0.785,0.606,1,0.672,0.009,0.773,0.009,0.594,0.011
1200,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.173176832788147, 0.826823167211853]",0.662,0.787,0.571,2,0.669,0.736,0.614,2,0.68,0.809,0.587,1,0.67,0.007,0.777,0.031,0.591,0.018
1300,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.18493930197268588, 0.8150606980273141]",0.71,0.767,0.66,2,0.672,0.716,0.633,2,0.691,0.791,0.614,1,0.691,0.016,0.758,0.031,0.636,0.019
1400,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.1963717972694969, 0.8036282027305031]",0.689,0.762,0.629,2,0.701,0.798,0.625,2,0.699,0.804,0.618,1,0.696,0.005,0.788,0.019,0.624,0.005
1500,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.20748801180376245, 0.7925119881962376]",0.702,0.745,0.664,2,0.689,0.768,0.625,2,0.674,0.822,0.571,1,0.688,0.011,0.778,0.032,0.62,0.038
1600,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.21830089139530653, 0.7816991086046935]",0.728,0.755,0.703,2,0.687,0.786,0.61,2,0.686,0.789,0.606,1,0.7,0.02,0.777,0.015,0.64,0.045
1700,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.2288226848528356, 0.7711773151471644]",0.715,0.745,0.687,2,0.673,0.781,0.591,2,0.692,0.812,0.602,1,0.693,0.017,0.779,0.027,0.627,0.043
1800,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.23906499026031522, 0.7609350097396848]",0.724,0.796,0.664,2,0.692,0.757,0.637,2,0.688,0.839,0.583,1,0.701,0.016,0.797,0.033,0.628,0.034
1900,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.24903879762320866, 0.7509612023767913]",0.726,0.813,0.656,2,0.698,0.784,0.629,2,0.694,0.785,0.622,1,0.706,0.014,0.794,0.013,0.636,0.015
2000,amazon_google,Transfer Learning,abt_buy,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.25875452820424355, 0.7412454717957564]",0.713,0.823,0.629,1,0.691,0.771,0.625,2,0.686,0.843,0.579,1,0.697,0.012,0.812,0.03,0.611,0.023
