Dataset;Method;Date;Train Size;Attr.Summarizer;Attr.Comparator;Embeddings;Epochs;Batch Size;Run 1: f1;Run 1: precision;Run 1: recall;Run 1: pos_neg_ratio;Run 2: f1;Run 2: precision;Run 2: recall;Run 2: pos_neg_ratio;Run 3: f1;Run 3: precision;Run 3: recall;Run 3: pos_neg_ratio;F1 Mean;F1 Std;Precision Mean;Precision Std;Recall Mean;Recall Std
wdc_phones;Passive Learing;25.07.2021;200.0;rnn;abs-diff;fasttext.en.bin;20;20;0.732;0.625;0.882;8;0.677;0.557;0.863;7;0.662;0.516;0.922;8;0.69;0.037;0.566;0.055;0.889;0.03
wdc_phones;Passive Learing;25.07.2021;100.0;rnn;abs-diff;fasttext.en.bin;20;20;0.508;0.348;0.941;8;0.472;0.319;0.902;8;0.56;0.402;0.922;4;0.513;0.044;0.356;0.042;0.922;0.02
wdc_headphones;Passive Learing;25.07.2021;200.0;rnn;abs-diff;fasttext.en.bin;20;20;0.771;0.656;0.933;6;0.762;0.667;0.889;5;0.8;0.7;0.933;5;0.778;0.02;0.674;0.023;0.918;0.025
wdc_headphones;Passive Learing;25.07.2021;100.0;rnn;abs-diff;fasttext.en.bin;20;20;0.532;0.394;0.822;7;0.497;0.345;0.889;5;0.562;0.434;0.8;6;0.53;0.033;0.391;0.045;0.837;0.046
amazon_google;Passive Learing;25.07.2021;2000.0;hybrid;abs-diff;fasttext.en.bin;20;20;0.572;0.496;0.676;5;0.468;0.345;0.73;6;0.634;0.65;0.618;5;0.558;0.084;0.497;0.153;0.675;0.056
amazon_google;Passive Learing;25.07.2021;1000.0;hybrid;abs-diff;fasttext.en.bin;20;20;0.393;0.321;0.506;6;0.484;0.375;0.68;5;0.449;0.423;0.479;6;0.442;0.046;0.373;0.051;0.555;0.109
dbpedia_viaf;Passive Learing;25.07.2021;2000.0;rnn;abs-diff;fasttext.en.bin;20;20;0.85;0.805;0.901;5;0.84;0.786;0.903;5;0.863;0.84;0.887;5;0.851;0.012;0.81;0.027;0.897;0.009
dbpedia_viaf;Passive Learing;25.07.2021;1000.0;rnn;abs-diff;fasttext.en.bin;20;20;0.791;0.818;0.765;4;0.824;0.846;0.804;5;0.798;0.774;0.824;5;0.804;0.017;0.813;0.036;0.798;0.03
dbpedia_dnb;Passive Learing;25.07.2021;2000.0;rnn;abs-diff;fasttext.en.bin;20;20;0.772;0.804;0.743;5;0.791;0.78;0.803;5;0.775;0.792;0.758;5;0.779;0.01;0.792;0.012;0.768;0.031
dbpedia_dnb;Passive Learing;25.07.2021;1000.0;rnn;abs-diff;fasttext.en.bin;20;20;0.675;0.677;0.673;5;0.712;0.651;0.784;5;0.714;0.691;0.739;5;0.7;0.022;0.673;0.02;0.732;0.056
cameras;Passive Learing;25.07.2021;2000.0;rnn;abs-diff;fasttext.en.bin;20;20;0.659;0.655;0.663;4;0.636;0.643;0.63;4;0.665;0.742;0.603;4;0.653;0.015;0.68;0.054;0.632;0.03
