labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.285,0.166,1.0,0,0.275,0.189,0.499,0,0.32,0.198,0.839,0,0.293,0.019,0.184,0.013,0.779,0.209
120,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.305,0.18,0.998,13,0.285,0.166,1.0,23,0.397,0.325,0.51,4,0.329,0.049,0.224,0.072,0.836,0.231
220,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.285,0.166,1.0,33,0.059,1.0,0.03,2,0.538,0.451,0.667,4,0.294,0.196,0.539,0.346,0.566,0.402
320,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.39,0.251,0.877,6,0.432,0.668,0.319,1,0.594,0.525,0.684,4,0.472,0.088,0.481,0.173,0.627,0.231
420,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.388,0.28,0.633,8,0.488,0.706,0.372,1,0.678,0.608,0.766,3,0.518,0.12,0.531,0.182,0.59,0.164
520,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.401,0.322,0.529,6,0.537,0.759,0.416,1,0.712,0.733,0.692,3,0.55,0.127,0.605,0.2,0.546,0.113
620,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.549,0.529,0.571,5,0.708,0.71,0.705,1,0.714,0.71,0.718,3,0.657,0.076,0.65,0.085,0.665,0.066
720,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.651,0.605,0.705,4,0.729,0.773,0.69,1,0.756,0.751,0.76,2,0.712,0.045,0.71,0.075,0.718,0.03
820,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.717,0.668,0.775,4,0.767,0.832,0.711,1,0.802,0.817,0.786,2,0.762,0.035,0.772,0.074,0.757,0.033
920,dbpedia_dnb,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.754,0.695,0.824,4,0.784,0.816,0.754,1,0.829,0.862,0.8,2,0.789,0.031,0.791,0.07,0.793,0.029
