labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.823,0.796,0.851,0,"[0, 0, 0, 0]",0.806,0.757,0.862,0,"[0, 0, 0, 0]",0.827,0.819,0.836,0,"[0, 0, 0, 0]",0.819,0.009,0.791,0.026,0.85,0.011
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.862,0.883,0.841,2,"[49, 1, 1, 49]",0.864,0.89,0.839,1,"[50, 1, 0, 49]",0.87,0.918,0.826,1,"[50, 0, 0, 50]",0.865,0.003,0.897,0.015,0.835,0.007
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.885,0.896,0.875,1,"[49, 0, 1, 50]",0.883,0.881,0.885,1,"[50, 0, 0, 50]",0.89,0.878,0.902,1,"[50, 0, 0, 50]",0.886,0.003,0.885,0.008,0.887,0.011
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.915,0.938,0.892,1,"[49, 0, 1, 50]",0.892,0.961,0.832,1,"[50, 0, 0, 50]",0.908,0.919,0.898,1,"[50, 0, 0, 50]",0.905,0.01,0.939,0.017,0.874,0.03
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.919,0.948,0.892,1,"[50, 0, 0, 50]",0.921,0.934,0.909,1,"[50, 0, 0, 50]",0.915,0.901,0.93,1,"[50, 0, 0, 50]",0.918,0.002,0.928,0.02,0.91,0.016
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.927,0.933,0.921,1,"[48, 0, 2, 50]",0.929,0.951,0.909,1,"[49, 0, 1, 50]",0.925,0.921,0.928,1,"[50, 0, 0, 50]",0.927,0.002,0.935,0.012,0.919,0.008
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.938,0.95,0.926,1,"[49, 0, 1, 50]",0.929,0.962,0.898,1,"[50, 0, 0, 50]",0.935,0.948,0.922,1,"[50, 0, 0, 50]",0.934,0.004,0.953,0.006,0.915,0.012
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.933,0.913,0.955,1,"[49, 0, 1, 50]",0.942,0.945,0.94,1,"[50, 0, 0, 50]",0.944,0.959,0.93,1,"[50, 0, 0, 50]",0.94,0.005,0.939,0.019,0.942,0.01
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.948,0.961,0.936,1,"[50, 0, 0, 50]",0.939,0.943,0.936,1,"[50, 0, 0, 50]",0.946,0.95,0.941,1,"[50, 0, 0, 50]",0.944,0.004,0.951,0.007,0.938,0.002
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.953,0.962,0.945,1,"[48, 0, 2, 50]",0.951,0.954,0.947,1,"[50, 0, 0, 50]",0.95,0.958,0.943,1,"[50, 1, 0, 49]",0.951,0.001,0.958,0.003,0.945,0.002
1000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.949,0.952,0.945,1,"[48, 1, 2, 49]",0.946,0.965,0.928,1,"[50, 0, 0, 50]",0.946,0.965,0.928,1,"[50, 0, 0, 50]",0.947,0.001,0.961,0.006,0.934,0.008
1100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.945,0.957,0.934,1,"[50, 0, 0, 50]",0.948,0.963,0.934,1,"[50, 0, 0, 50]",0.947,0.956,0.938,1,"[50, 0, 0, 50]",0.947,0.001,0.959,0.003,0.935,0.002
1200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.945,0.957,0.934,1,"[50, 0, 0, 50]",0.944,0.937,0.951,1,"[50, 0, 0, 50]",0.942,0.928,0.957,1,"[50, 0, 0, 50]",0.944,0.001,0.941,0.012,0.947,0.01
1300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.947,0.952,0.941,1,"[48, 0, 2, 50]",0.946,0.945,0.947,1,"[50, 0, 0, 50]",0.956,0.969,0.943,1,"[48, 0, 2, 50]",0.95,0.004,0.955,0.01,0.944,0.002
1400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.939,0.966,0.913,1,"[50, 0, 0, 50]",0.951,0.967,0.936,1,"[50, 0, 0, 50]",0.954,0.955,0.953,1,"[50, 0, 0, 50]",0.948,0.006,0.963,0.005,0.934,0.016
1500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.946,0.965,0.928,1,"[49, 0, 1, 50]",0.954,0.974,0.934,1,"[50, 0, 0, 50]",0.958,0.965,0.951,1,"[50, 0, 0, 50]",0.953,0.005,0.968,0.004,0.938,0.01
1600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.943,0.947,0.94,1,"[50, 1, 0, 49]",0.946,0.956,0.936,1,"[50, 0, 0, 50]",0.951,0.947,0.955,1,"[50, 0, 0, 50]",0.947,0.003,0.95,0.004,0.944,0.008
