labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.841,0.832,0.851,0,0.836,0.86,0.813,0,0.806,0.76,0.858,0,0.828,0.015,0.817,0.042,0.841,0.02
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.006486766995329528, 0.9935132330046704]",0.851,0.894,0.813,1,0.855,0.797,0.922,1,0.871,0.886,0.856,2,0.859,0.009,0.859,0.044,0.864,0.045
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.012889920082495489, 0.9871100799175045]",0.901,0.939,0.866,1,0.907,0.885,0.93,2,0.899,0.875,0.924,2,0.902,0.003,0.9,0.028,0.907,0.029
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.019211065573770492, 0.9807889344262295]",0.922,0.941,0.904,1,0.91,0.883,0.94,2,0.911,0.875,0.951,2,0.914,0.005,0.9,0.029,0.932,0.02
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.025451768897938407, 0.9745482311020616]",0.944,0.959,0.93,1,0.925,0.94,0.911,2,0.924,0.926,0.922,2,0.931,0.009,0.942,0.014,0.921,0.008
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.03161355589276682, 0.9683864441072332]",0.937,0.928,0.947,1,0.936,0.946,0.926,2,0.937,0.966,0.909,2,0.937,0.0,0.947,0.016,0.927,0.016
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.03769791404875597, 0.962302085951244]",0.934,0.953,0.917,1,0.927,0.945,0.909,2,0.93,0.933,0.926,2,0.93,0.003,0.944,0.008,0.917,0.007
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.043706293706293704, 0.9562937062937062]",0.954,0.955,0.953,1,0.942,0.938,0.945,1,0.943,0.948,0.938,2,0.946,0.005,0.947,0.007,0.945,0.006
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.04964010920824026, 0.9503598907917598]",0.953,0.958,0.949,1,0.949,0.952,0.945,1,0.941,0.959,0.924,2,0.948,0.005,0.956,0.003,0.939,0.011
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.0555007400098668, 0.9444992599901332]",0.961,0.964,0.958,1,0.953,0.96,0.947,1,0.944,0.94,0.947,2,0.953,0.007,0.955,0.01,0.951,0.005
1000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.061289531747977445, 0.9387104682520225]",0.958,0.96,0.957,1,0.951,0.951,0.951,1,0.949,0.965,0.934,2,0.953,0.004,0.959,0.006,0.947,0.01
1100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06700779727095517, 0.9329922027290448]",0.963,0.964,0.962,1,0.953,0.962,0.945,1,0.945,0.949,0.941,1,0.954,0.007,0.958,0.007,0.949,0.009
1200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.07265681763138775, 0.9273431823686122]",0.966,0.968,0.964,1,0.958,0.967,0.949,1,0.95,0.965,0.936,1,0.958,0.007,0.967,0.001,0.95,0.011
