labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.277,0.19,0.509,0,0.3,0.177,0.975,0,0.379,0.239,0.914,0,0.319,0.044,0.202,0.027,0.799,0.207
120,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.513,0.381,0.783,4,0.391,0.255,0.838,14,0.385,0.241,0.947,8,0.43,0.059,0.292,0.063,0.856,0.068
220,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.577,0.449,0.808,3,0.406,0.258,0.948,13,0.53,0.369,0.942,8,0.504,0.072,0.359,0.078,0.899,0.065
320,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.7,0.634,0.78,3,0.404,0.255,0.975,16,0.635,0.494,0.889,7,0.58,0.127,0.461,0.156,0.881,0.08
420,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.781,0.795,0.768,3,0.511,0.35,0.945,14,0.713,0.62,0.84,6,0.668,0.115,0.588,0.183,0.851,0.073
520,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.816,0.887,0.755,2,0.573,0.409,0.954,13,0.724,0.659,0.804,5,0.704,0.1,0.652,0.195,0.838,0.085
620,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.841,0.82,0.863,2,0.662,0.531,0.878,13,0.81,0.773,0.851,4,0.771,0.078,0.708,0.127,0.864,0.011
720,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.84,0.771,0.923,2,0.737,0.663,0.83,11,0.852,0.811,0.896,3,0.81,0.052,0.748,0.063,0.883,0.039
820,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.862,0.782,0.961,2,0.834,0.82,0.849,8,0.886,0.864,0.909,3,0.861,0.021,0.822,0.034,0.906,0.046
920,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.912,0.909,0.914,2,0.827,0.751,0.922,5,0.902,0.904,0.9,3,0.88,0.038,0.855,0.073,0.912,0.009
1020,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.914,0.871,0.962,2,0.866,0.812,0.928,5,0.881,0.825,0.945,3,0.887,0.02,0.836,0.025,0.945,0.014
1120,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.928,0.918,0.937,2,0.885,0.861,0.911,5,0.913,0.892,0.934,3,0.909,0.018,0.89,0.023,0.927,0.012
1220,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.933,0.912,0.956,2,0.9,0.9,0.901,4,0.923,0.907,0.939,2,0.919,0.014,0.906,0.005,0.932,0.023
1320,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.947,0.94,0.954,2,0.91,0.876,0.947,4,0.929,0.935,0.923,2,0.929,0.015,0.917,0.029,0.941,0.013
1420,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.94,0.919,0.962,2,0.915,0.893,0.939,3,0.933,0.912,0.956,2,0.929,0.011,0.908,0.011,0.952,0.01
1520,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.935,0.966,0.906,2,0.93,0.911,0.95,3,0.942,0.935,0.95,2,0.936,0.005,0.937,0.023,0.935,0.021
1620,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.939,0.915,0.964,2,0.941,0.928,0.954,3,0.936,0.92,0.953,2,0.939,0.002,0.921,0.005,0.957,0.005
1720,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.952,0.947,0.956,2,0.944,0.93,0.959,3,0.944,0.93,0.959,2,0.947,0.004,0.936,0.008,0.958,0.001
1820,dbpedia_viaf,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.949,0.937,0.961,2,0.93,0.898,0.965,3,0.945,0.929,0.962,2,0.941,0.008,0.921,0.017,0.963,0.002
