# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_include_source
0,0.319 (0.044),0.871 (0.005),0.846 (0.013),0.872 (0.012)
100,0.430 (0.059),0.920 (0.005),0.921 (0.004),0.752 (0.035)
200,0.504 (0.072),0.928 (0.004),0.934 (0.007),0.922 (0.006)
300,0.580 (0.127),0.940 (0.001),0.946 (0.004),0.934 (0.015)
400,0.668 (0.115),0.950 (0.005),0.951 (0.005),0.939 (0.005)
500,0.704 (0.100),0.956 (0.003),0.951 (0.003),0.957 (0.002)
600,0.771 (0.078),0.954 (0.006),0.950 (0.006),0.958 (0.004)
700,0.810 (0.052),0.964 (0.000),0.957 (0.004),0.962 (0.002)
800,0.861 (0.021),0.959 (0.002),0.959 (0.004),0.962 (0.002)
900,0.880 (0.038),0.965 (0.002),0.962 (0.004),0.969 (0.003)
1000,0.887 (0.020),0.966 (0.001),0.964 (0.004),0.963 (0.003)
1100,0.909 (0.018),0.963 (0.004),0.965 (0.001),0.968 (0.006)
1200,0.919 (0.014),0.965 (0.002),0.963 (0.002),0.969 (0.005)
1300,0.929 (0.015),0.964 (0.005),0.962 (0.003),0.966 (0.005)
1400,0.929 (0.011),0.966 (0.000),0.962 (0.001),0.968 (0.003)
1500,0.936 (0.005),0.965 (0.001),0.961 (0.003),0.970 (0.004)
1600,0.939 (0.002),0.966 (0.003),0.964 (0.005),0.968 (0.001)
1700,0.947 (0.004),0.964 (0.002),0.965 (0.005),0.970 (0.004)
1800,0.941 (0.008),0.964 (0.001),0.965 (0.001),0.970 (0.004)
1900,0.952 (0.002),0.969 (0.003),0.965 (0.004),0.971 (0.003)
2000,0.951 (0.004),0.968 (0.004),0.965 (0.003),0.974 (0.003)
