labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.423,0.272,0.957,0,0.416,0.293,0.717,0,0.45,0.298,0.917,0,0.43,0.015,0.288,0.011,0.864,0.105
120,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.456,0.594,0.37,3,0.531,0.457,0.633,5,0.518,0.374,0.843,5,0.502,0.033,0.475,0.091,0.615,0.194
220,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.538,0.551,0.527,3,0.573,0.555,0.593,5,0.561,0.434,0.793,5,0.557,0.015,0.513,0.056,0.638,0.113
320,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.547,0.568,0.527,2,0.588,0.493,0.727,4,0.584,0.474,0.76,5,0.573,0.018,0.512,0.041,0.671,0.103
420,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.53,0.727,0.417,2,0.55,0.622,0.493,4,0.596,0.539,0.667,5,0.559,0.028,0.629,0.077,0.526,0.105
520,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.583,0.59,0.577,2,0.573,0.576,0.57,3,0.6,0.565,0.64,5,0.585,0.011,0.577,0.01,0.596,0.031
620,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.581,0.719,0.487,2,0.58,0.651,0.523,3,0.595,0.657,0.543,5,0.585,0.007,0.676,0.031,0.518,0.023
720,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.578,0.727,0.48,2,0.605,0.645,0.57,3,0.595,0.684,0.527,4,0.593,0.011,0.685,0.033,0.526,0.037
820,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.587,0.765,0.477,2,0.593,0.722,0.503,3,0.618,0.729,0.537,4,0.599,0.013,0.739,0.019,0.506,0.025
920,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.609,0.764,0.507,2,0.616,0.671,0.57,2,0.643,0.775,0.55,3,0.623,0.015,0.737,0.047,0.542,0.026
1020,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.664,0.76,0.59,2,0.652,0.733,0.587,2,0.606,0.746,0.51,3,0.641,0.025,0.746,0.011,0.562,0.037
1120,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.651,0.772,0.563,2,0.636,0.759,0.547,2,0.67,0.765,0.597,3,0.652,0.014,0.765,0.005,0.569,0.021
1220,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.642,0.815,0.53,2,0.656,0.768,0.573,2,0.656,0.768,0.573,3,0.651,0.007,0.784,0.022,0.559,0.02
1320,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.668,0.733,0.613,2,0.659,0.787,0.567,2,0.67,0.776,0.59,3,0.666,0.005,0.765,0.023,0.59,0.019
1420,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.671,0.801,0.577,2,0.669,0.773,0.59,2,0.676,0.739,0.623,3,0.672,0.003,0.771,0.025,0.597,0.019
1520,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.657,0.824,0.547,2,0.681,0.825,0.58,2,0.704,0.797,0.63,2,0.681,0.019,0.815,0.013,0.586,0.034
1620,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.696,0.823,0.603,2,0.682,0.815,0.587,2,0.701,0.785,0.633,2,0.693,0.008,0.808,0.016,0.608,0.019
1720,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.699,0.784,0.63,2,0.698,0.833,0.6,2,0.727,0.829,0.647,2,0.708,0.013,0.815,0.022,0.626,0.019
1820,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.663,0.792,0.57,2,0.694,0.782,0.623,2,0.707,0.83,0.617,2,0.688,0.018,0.801,0.021,0.603,0.024
1920,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.705,0.756,0.66,2,0.674,0.793,0.587,2,0.713,0.809,0.637,2,0.697,0.017,0.786,0.022,0.628,0.03
2020,cameras,Random Sample 20,,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.705,0.829,0.613,2,0.708,0.793,0.64,2,0.708,0.82,0.623,2,0.707,0.001,0.814,0.015,0.625,0.011
