labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.622,0.614,0.63,0,"[0, 0, 0, 0]",0.629,0.634,0.623,0,"[0, 0, 0, 0]",0.635,0.63,0.64,0,"[0, 0, 0, 0]",0.629,0.005,0.626,0.009,0.631,0.007
100,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.607,0.683,0.547,2,"[45, 3, 5, 47]",0.613,0.703,0.543,1,"[45, 13, 5, 37]",0.622,0.662,0.587,1,"[44, 6, 6, 44]",0.614,0.006,0.683,0.017,0.559,0.02
200,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.613,0.726,0.53,2,"[46, 1, 4, 49]",0.614,0.756,0.517,1,"[49, 6, 1, 44]",0.627,0.644,0.61,2,"[50, 5, 0, 45]",0.618,0.006,0.709,0.047,0.552,0.041
300,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.623,0.736,0.54,2,"[47, 0, 3, 50]",0.624,0.773,0.523,1,"[49, 1, 1, 49]",0.634,0.699,0.58,2,"[49, 4, 1, 46]",0.627,0.005,0.736,0.03,0.548,0.024
400,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.642,0.771,0.55,2,"[42, 1, 8, 49]",0.674,0.812,0.577,1,"[50, 1, 0, 49]",0.678,0.672,0.683,2,"[50, 4, 0, 46]",0.665,0.016,0.752,0.059,0.603,0.057
500,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.654,0.75,0.58,2,"[44, 0, 6, 50]",0.644,0.827,0.527,1,"[45, 2, 5, 48]",0.67,0.707,0.637,2,"[48, 8, 2, 42]",0.656,0.011,0.761,0.05,0.581,0.045
600,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.679,0.678,0.68,2,"[44, 0, 6, 50]",0.696,0.823,0.603,1,"[45, 1, 5, 49]",0.68,0.706,0.657,2,"[50, 4, 0, 46]",0.685,0.008,0.736,0.063,0.647,0.032
700,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.676,0.712,0.643,2,"[47, 2, 3, 48]",0.697,0.82,0.607,1,"[44, 2, 6, 48]",0.691,0.725,0.66,2,"[49, 5, 1, 45]",0.688,0.009,0.752,0.048,0.637,0.022
800,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.695,0.747,0.65,2,"[45, 0, 5, 50]",0.706,0.826,0.617,1,"[46, 1, 4, 49]",0.706,0.759,0.66,2,"[49, 4, 1, 46]",0.702,0.005,0.777,0.035,0.642,0.018
900,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.705,0.736,0.677,2,"[42, 1, 8, 49]",0.698,0.833,0.6,1,"[45, 3, 5, 47]",0.707,0.752,0.667,2,"[50, 6, 0, 44]",0.703,0.004,0.774,0.042,0.648,0.034
