labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.63,0.627,0.633,0,0.618,0.642,0.597,0,0.652,0.658,0.647,0,0.633,0.017,0.642,0.016,0.626,0.026
100,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.003456858407079646, 0.9965431415929203]",0.63,0.664,0.6,2,0.611,0.612,0.61,2,0.578,0.698,0.493,3,0.606,0.026,0.658,0.043,0.568,0.065
200,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.006889899407468651, 0.9931101005925314]",0.644,0.603,0.69,2,0.655,0.711,0.607,2,0.629,0.759,0.537,2,0.643,0.013,0.691,0.08,0.611,0.077
300,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.010299368305410601, 0.9897006316945894]",0.692,0.768,0.63,2,0.648,0.64,0.657,2,0.677,0.711,0.647,2,0.672,0.022,0.706,0.064,0.645,0.014
400,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.01368550704803613, 0.9863144929519638]",0.703,0.708,0.697,2,0.662,0.701,0.627,2,0.698,0.792,0.623,2,0.688,0.022,0.734,0.051,0.649,0.042
500,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.017048554282596835, 0.9829514457174031]",0.73,0.801,0.67,3,0.68,0.72,0.643,2,0.729,0.79,0.677,2,0.713,0.029,0.77,0.044,0.663,0.018
600,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.020388745412532282, 0.9796112545874677]",0.721,0.772,0.677,2,0.725,0.794,0.667,2,0.722,0.765,0.683,2,0.723,0.002,0.777,0.015,0.676,0.008
700,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.023706312652397723, 0.9762936873476022]",0.705,0.829,0.613,2,0.734,0.779,0.693,2,0.75,0.813,0.697,2,0.73,0.023,0.807,0.026,0.668,0.047
800,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.02700148508167949, 0.9729985149183205]",0.765,0.807,0.727,2,0.736,0.768,0.707,2,0.747,0.784,0.713,2,0.749,0.015,0.786,0.02,0.716,0.01
900,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.03027448869752422, 0.9697255113024758]",0.75,0.767,0.733,2,0.761,0.78,0.743,2,0.755,0.801,0.713,2,0.755,0.006,0.783,0.017,0.73,0.015
1000,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.0335255464664074, 0.9664744535335926]",0.748,0.787,0.713,2,0.762,0.809,0.72,2,0.761,0.769,0.753,2,0.757,0.008,0.788,0.02,0.729,0.021
