labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.628,0.643,0.613,0,0.654,0.666,0.643,0,0.612,0.592,0.633,0,0.631,0.017,0.634,0.031,0.63,0.012
100,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.64,0.615,0.667,2,0.652,0.701,0.61,2,0.628,0.65,0.607,2,0.64,0.01,0.655,0.035,0.628,0.028
200,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.63,0.668,0.597,2,0.643,0.732,0.573,2,0.623,0.629,0.617,2,0.632,0.008,0.676,0.042,0.596,0.018
300,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.646,0.7,0.6,2,0.64,0.709,0.583,2,0.644,0.662,0.627,2,0.643,0.002,0.69,0.02,0.603,0.018
400,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.672,0.7,0.647,2,0.622,0.754,0.53,2,0.642,0.719,0.58,2,0.645,0.021,0.724,0.022,0.586,0.048
500,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.662,0.743,0.597,2,0.649,0.753,0.57,2,0.681,0.732,0.637,2,0.664,0.013,0.743,0.009,0.601,0.028
600,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.667,0.755,0.597,2,0.693,0.751,0.643,2,0.686,0.763,0.623,2,0.682,0.011,0.756,0.005,0.621,0.019
700,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.652,0.744,0.58,2,0.69,0.767,0.627,2,0.693,0.797,0.613,2,0.678,0.019,0.769,0.022,0.607,0.02
800,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.683,0.733,0.64,2,0.722,0.807,0.653,2,0.712,0.803,0.64,2,0.706,0.017,0.781,0.034,0.644,0.006
900,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.686,0.763,0.623,2,0.734,0.767,0.703,2,0.731,0.778,0.69,2,0.717,0.022,0.769,0.006,0.672,0.035
1000,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.684,0.727,0.647,2,0.741,0.81,0.683,2,0.721,0.844,0.63,1,0.715,0.024,0.794,0.049,0.653,0.022
1100,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.713,0.795,0.647,2,0.724,0.822,0.647,1,0.714,0.835,0.623,1,0.717,0.005,0.817,0.017,0.639,0.011
1200,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.714,0.835,0.623,2,0.723,0.798,0.66,1,0.726,0.845,0.637,1,0.721,0.005,0.826,0.02,0.64,0.015
1300,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.703,0.812,0.62,2,0.739,0.83,0.667,1,0.738,0.858,0.647,1,0.727,0.017,0.833,0.019,0.645,0.019
1400,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.732,0.788,0.683,2,0.751,0.781,0.723,1,0.743,0.85,0.66,1,0.742,0.008,0.806,0.031,0.689,0.026
1500,cameras,Transfer Learning,watches,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.71,0.877,0.597,1,0.747,0.861,0.66,1,0.757,0.881,0.663,1,0.738,0.02,0.873,0.009,0.64,0.03
