labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.204,0.127,0.511,0,0.437,0.295,0.844,0,0.34,0.208,0.933,0,0.327,0.096,0.21,0.069,0.763,0.182
40,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.405,0.287,0.689,7,0.414,0.279,0.8,6,0.506,0.358,0.867,3,0.442,0.046,0.308,0.036,0.785,0.073
60,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.526,0.435,0.667,8,0.547,0.404,0.844,8,0.464,0.317,0.867,4,0.512,0.035,0.385,0.05,0.793,0.089
80,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.583,0.467,0.778,6,0.769,0.678,0.889,6,0.519,0.367,0.889,6,0.624,0.106,0.504,0.13,0.852,0.052
100,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.775,0.652,0.956,4,0.84,0.764,0.933,5,0.577,0.413,0.956,6,0.731,0.112,0.61,0.146,0.948,0.011
120,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.935,0.915,0.956,3,0.778,0.667,0.933,5,0.667,0.5,1.0,7,0.793,0.11,0.694,0.17,0.963,0.028
140,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.878,0.811,0.956,2,0.884,0.84,0.933,6,0.75,0.661,0.867,7,0.837,0.062,0.771,0.078,0.919,0.038
160,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.907,0.846,0.978,3,0.854,0.804,0.911,5,0.769,0.678,0.889,6,0.843,0.057,0.776,0.071,0.926,0.038
180,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.945,0.935,0.956,3,0.878,0.811,0.956,5,0.83,0.721,0.978,6,0.884,0.047,0.822,0.088,0.963,0.01
200,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.925,0.896,0.956,3,0.926,0.88,0.978,4,0.854,0.759,0.978,7,0.902,0.034,0.845,0.061,0.971,0.01
220,wdc_headphones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.945,0.935,0.956,2,0.946,0.917,0.978,4,0.863,0.772,0.978,6,0.918,0.039,0.875,0.073,0.971,0.01
