labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.246,0.15,0.689,0,0.266,0.163,0.733,0,0.235,0.142,0.689,0,0.249,0.013,0.152,0.009,0.704,0.021
20,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.01122754491017964, 0.9887724550898204]",0.385,0.455,0.333,9,0.271,0.165,0.756,9,0.286,0.173,0.822,19,0.314,0.051,0.264,0.135,0.637,0.217
40,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.02220577350111029, 0.9777942264988897]",0.554,0.463,0.689,3,0.359,0.252,0.622,9,0.482,0.331,0.889,9,0.465,0.081,0.349,0.087,0.733,0.113
60,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.03294289897510981, 0.9670571010248902]",0.571,0.459,0.756,3,0.5,0.379,0.733,4,0.508,0.411,0.667,5,0.526,0.032,0.416,0.033,0.719,0.038
80,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.04344677769732078, 0.9565532223026793]",0.618,0.523,0.756,2,0.538,0.475,0.622,5,0.647,0.579,0.733,6,0.601,0.046,0.526,0.042,0.704,0.059
100,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.053724928366762174, 0.9462750716332379]",0.603,0.493,0.778,3,0.66,0.586,0.756,3,0.615,0.609,0.622,4,0.626,0.025,0.563,0.05,0.719,0.069
120,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06378454996456413, 0.9362154500354358]",0.647,0.579,0.733,3,0.714,0.66,0.778,3,0.68,0.635,0.733,3,0.68,0.027,0.625,0.034,0.748,0.021
140,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.07363253856942496, 0.926367461430575]",0.655,0.554,0.8,3,0.667,0.646,0.689,3,0.667,0.611,0.733,3,0.663,0.006,0.604,0.038,0.741,0.046
160,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.08327550312283137, 0.9167244968771686]",0.714,0.66,0.778,3,0.78,0.709,0.867,2,0.723,0.694,0.756,3,0.739,0.029,0.688,0.02,0.8,0.048
180,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.09271978021978022, 0.9072802197802198]",0.723,0.694,0.756,4,0.78,0.709,0.867,2,0.707,0.648,0.778,3,0.737,0.031,0.684,0.026,0.8,0.048
200,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.10197144799456152, 0.8980285520054385]",0.716,0.68,0.756,3,0.765,0.684,0.867,2,0.713,0.643,0.8,2,0.731,0.024,0.669,0.018,0.808,0.046
