labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.119,0.152,0.098,0,0.294,0.182,0.765,0,0.214,0.122,0.882,0,0.209,0.072,0.152,0.024,0.582,0.345
40,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.288,0.216,0.431,7,0.369,0.304,0.471,5,0.385,0.255,0.784,3,0.347,0.042,0.258,0.036,0.562,0.158
60,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.613,0.488,0.824,4,0.483,0.42,0.569,4,0.458,0.301,0.961,4,0.518,0.068,0.403,0.077,0.785,0.162
80,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.646,0.532,0.824,4,0.654,0.625,0.686,4,0.511,0.35,0.941,5,0.604,0.066,0.502,0.114,0.817,0.104
100,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.743,0.722,0.765,5,0.688,0.571,0.863,3,0.613,0.521,0.745,5,0.681,0.053,0.605,0.085,0.791,0.052
120,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.803,0.712,0.922,3,0.776,0.692,0.882,3,0.833,0.789,0.882,5,0.804,0.023,0.731,0.042,0.895,0.019
140,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.829,0.767,0.902,4,0.764,0.712,0.824,3,0.819,0.796,0.843,5,0.804,0.029,0.758,0.035,0.856,0.033
160,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.879,0.839,0.922,3,0.825,0.746,0.922,3,0.852,0.807,0.902,4,0.852,0.022,0.797,0.039,0.915,0.009
180,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.911,0.92,0.902,4,0.857,0.787,0.941,3,0.893,0.885,0.902,4,0.887,0.022,0.864,0.056,0.915,0.018
200,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.923,0.906,0.941,3,0.84,0.735,0.98,3,0.885,0.868,0.902,4,0.883,0.034,0.836,0.073,0.941,0.032
220,wdc_phones,Random Sample 20,,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.929,0.958,0.902,3,0.863,0.863,0.863,4,0.876,0.852,0.902,3,0.889,0.029,0.891,0.048,0.889,0.018
