labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.222,0.128,0.843,0,0.219,0.126,0.843,0,0.212,0.122,0.804,0,0.218,0.004,0.125,0.002,0.83,0.018
20,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.016910935738444193, 0.9830890642615558]",0.282,0.205,0.451,6,0.237,0.136,0.902,9,0.28,0.19,0.529,3,0.266,0.021,0.177,0.03,0.627,0.197
40,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.03325942350332594, 0.9667405764966741]",0.353,0.252,0.588,6,0.374,0.319,0.451,3,0.345,0.23,0.686,2,0.357,0.012,0.267,0.038,0.575,0.096
60,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.04907306434023991, 0.95092693565976]",0.352,0.259,0.549,5,0.397,0.333,0.49,3,0.354,0.234,0.725,3,0.368,0.021,0.275,0.042,0.588,0.1
80,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06437768240343347, 0.9356223175965666]",0.463,0.354,0.667,4,0.362,0.303,0.451,4,0.367,0.256,0.647,3,0.397,0.046,0.304,0.04,0.588,0.097
100,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.0791974656810982, 0.9208025343189018]",0.402,0.292,0.647,3,0.463,0.5,0.431,5,0.454,0.356,0.627,4,0.44,0.027,0.383,0.087,0.568,0.097
120,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.09355509355509356, 0.9064449064449065]",0.473,0.388,0.608,3,0.5,0.561,0.451,5,0.468,0.397,0.569,4,0.48,0.014,0.449,0.08,0.543,0.067
140,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.10747185261003071, 0.8925281473899693]",0.473,0.361,0.686,3,0.491,0.458,0.529,5,0.542,0.518,0.569,5,0.502,0.029,0.446,0.065,0.595,0.067
160,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.12096774193548387, 0.8790322580645161]",0.466,0.415,0.529,3,0.529,0.529,0.529,4,0.525,0.463,0.608,4,0.507,0.029,0.469,0.047,0.555,0.037
180,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.13406156901688182, 0.8659384309831182]",0.54,0.551,0.529,4,0.578,0.75,0.471,4,0.612,0.638,0.588,5,0.577,0.029,0.646,0.081,0.529,0.048
200,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.14677103718199608, 0.8532289628180039]",0.514,0.5,0.529,4,0.551,0.574,0.529,4,0.538,0.528,0.549,4,0.534,0.015,0.534,0.031,0.536,0.009
