# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_include_source
0,0.209 (0.072),0.235 (0.009),0.223 (0.006),0.218 (0.004)
20,0.347 (0.042),0.268 (0.008),0.291 (0.026),0.266 (0.021)
40,0.518 (0.068),0.260 (0.040),0.312 (0.035),0.357 (0.012)
60,0.604 (0.066),0.304 (0.017),0.327 (0.024),0.368 (0.021)
80,0.681 (0.053),0.282 (0.029),0.351 (0.043),0.397 (0.046)
100,0.804 (0.023),0.317 (0.014),0.378 (0.005),0.440 (0.027)
120,0.804 (0.029),0.272 (0.055),0.358 (0.022),0.480 (0.014)
140,0.852 (0.022),0.305 (0.027),0.360 (0.007),0.502 (0.029)
160,0.887 (0.022),0.369 (0.014),0.391 (0.033),0.507 (0.029)
180,0.883 (0.034),0.371 (0.024),0.395 (0.022),0.577 (0.029)
200,0.889 (0.029),0.419 (0.029),0.393 (0.017),0.534 (0.015)
