labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.275,0.247,0.31,0,0.184,0.569,0.11,0,0.057,0.128,0.037,0,0.172,0.109,0.315,0.228,0.152,0.141
120,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.462,0.354,0.667,4,0.423,0.414,0.433,4,0.304,0.206,0.58,12,0.396,0.082,0.325,0.107,0.56,0.118
220,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.535,0.504,0.57,5,0.335,0.702,0.22,5,0.359,0.27,0.537,8,0.41,0.109,0.492,0.216,0.442,0.193
320,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.51,0.578,0.457,2,0.378,0.47,0.317,4,0.332,0.262,0.453,7,0.407,0.092,0.437,0.161,0.409,0.08
420,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.487,0.521,0.457,2,0.352,0.381,0.327,3,0.365,0.294,0.483,6,0.401,0.074,0.399,0.115,0.422,0.084
520,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.346,0.506,0.263,2,0.387,0.384,0.39,3,0.348,0.331,0.367,6,0.36,0.023,0.407,0.09,0.34,0.068
620,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.351,0.527,0.263,2,0.466,0.436,0.5,3,0.359,0.34,0.38,6,0.392,0.064,0.434,0.094,0.381,0.119
720,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.394,0.628,0.287,2,0.396,0.446,0.357,3,0.352,0.376,0.33,5,0.381,0.025,0.483,0.13,0.325,0.035
820,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.404,0.539,0.323,2,0.402,0.53,0.323,3,0.318,0.386,0.27,5,0.375,0.049,0.485,0.086,0.305,0.031
920,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.45,0.62,0.353,2,0.455,0.609,0.363,3,0.386,0.495,0.317,4,0.43,0.038,0.575,0.069,0.344,0.024
1020,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.499,0.672,0.397,2,0.411,0.554,0.327,3,0.391,0.503,0.32,4,0.434,0.057,0.576,0.087,0.348,0.043
1120,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.489,0.709,0.373,2,0.408,0.609,0.307,2,0.423,0.489,0.373,4,0.44,0.043,0.602,0.11,0.351,0.038
1220,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.528,0.741,0.41,2,0.481,0.655,0.38,2,0.418,0.534,0.343,4,0.476,0.055,0.643,0.104,0.378,0.034
1320,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.553,0.765,0.433,2,0.499,0.692,0.39,2,0.412,0.55,0.33,4,0.488,0.071,0.669,0.109,0.384,0.052
1420,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.584,0.753,0.477,2,0.547,0.715,0.443,2,0.465,0.6,0.38,4,0.532,0.061,0.689,0.08,0.433,0.049
1520,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.61,0.808,0.49,2,0.578,0.718,0.483,2,0.459,0.632,0.36,3,0.549,0.08,0.719,0.088,0.444,0.073
1620,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.673,0.795,0.583,2,0.625,0.724,0.55,2,0.486,0.646,0.39,3,0.595,0.097,0.722,0.075,0.508,0.103
1720,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.645,0.766,0.557,2,0.655,0.764,0.573,2,0.519,0.687,0.417,3,0.606,0.076,0.739,0.045,0.516,0.086
1820,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.685,0.837,0.58,2,0.655,0.759,0.577,2,0.541,0.631,0.473,3,0.627,0.076,0.742,0.104,0.543,0.061
1920,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.688,0.814,0.597,2,0.655,0.764,0.573,2,0.621,0.714,0.55,3,0.655,0.034,0.764,0.05,0.573,0.024
2020,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.705,0.868,0.593,2,0.68,0.821,0.58,2,0.64,0.709,0.583,3,0.675,0.033,0.799,0.082,0.585,0.007
2120,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.671,0.851,0.553,2,0.699,0.808,0.617,2,0.681,0.736,0.633,3,0.684,0.014,0.798,0.058,0.601,0.042
2220,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.729,0.83,0.65,2,0.68,0.807,0.587,2,0.714,0.729,0.7,3,0.708,0.025,0.789,0.053,0.646,0.057
2320,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.737,0.823,0.667,2,0.708,0.782,0.647,2,0.715,0.742,0.69,3,0.72,0.015,0.782,0.041,0.668,0.022
2420,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.749,0.848,0.67,2,0.708,0.777,0.65,2,0.735,0.754,0.717,3,0.731,0.021,0.793,0.049,0.679,0.034
2520,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.726,0.845,0.637,2,0.752,0.808,0.703,2,0.712,0.758,0.67,3,0.73,0.02,0.804,0.044,0.67,0.033
2620,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.74,0.827,0.67,2,0.776,0.832,0.727,2,0.725,0.764,0.69,3,0.747,0.026,0.808,0.038,0.696,0.029
2720,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.728,0.882,0.62,2,0.74,0.827,0.67,2,0.738,0.769,0.71,3,0.735,0.006,0.826,0.057,0.667,0.045
2820,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.758,0.841,0.69,2,0.767,0.838,0.707,2,0.741,0.763,0.72,2,0.755,0.013,0.814,0.044,0.706,0.015
2920,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.762,0.852,0.69,2,0.773,0.867,0.697,2,0.778,0.797,0.76,2,0.771,0.008,0.839,0.037,0.716,0.039
3020,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.794,0.857,0.74,2,0.763,0.82,0.713,2,0.787,0.793,0.78,2,0.781,0.016,0.823,0.032,0.744,0.034
3120,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.782,0.842,0.73,2,0.804,0.865,0.75,2,0.775,0.819,0.737,2,0.787,0.015,0.842,0.023,0.739,0.01
3220,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.781,0.879,0.703,2,0.829,0.892,0.773,2,0.788,0.815,0.763,2,0.799,0.026,0.862,0.041,0.746,0.038
3320,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.788,0.881,0.713,2,0.834,0.897,0.78,2,0.783,0.777,0.79,2,0.802,0.028,0.852,0.065,0.761,0.042
3420,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.809,0.879,0.75,2,0.836,0.876,0.8,2,0.801,0.824,0.78,2,0.815,0.018,0.86,0.031,0.777,0.025
3520,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.804,0.891,0.733,2,0.842,0.892,0.797,2,0.783,0.811,0.757,2,0.81,0.03,0.865,0.046,0.762,0.032
3620,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.808,0.855,0.767,2,0.838,0.879,0.8,2,0.806,0.823,0.79,2,0.817,0.018,0.852,0.028,0.786,0.017
3720,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.821,0.878,0.77,2,0.853,0.897,0.813,2,0.819,0.839,0.8,2,0.831,0.019,0.871,0.03,0.794,0.022
3820,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.827,0.898,0.767,2,0.859,0.914,0.81,2,0.825,0.843,0.807,2,0.837,0.019,0.885,0.037,0.795,0.024
3920,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.845,0.898,0.797,2,0.853,0.909,0.803,2,0.809,0.836,0.783,2,0.836,0.023,0.881,0.039,0.794,0.01
4020,watches,Random Sample 20,,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.839,0.907,0.78,2,0.861,0.878,0.843,2,0.83,0.847,0.813,2,0.843,0.016,0.877,0.03,0.812,0.032
