labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.499,0.394,0.68,0,0.548,0.44,0.727,0,0.548,0.425,0.773,0,0.532,0.023,0.42,0.019,0.727,0.038
100,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.523,0.395,0.773,5,0.49,0.417,0.593,10,0.523,0.408,0.727,4,0.512,0.016,0.407,0.009,0.698,0.076
200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.511,0.457,0.58,5,0.424,0.396,0.457,7,0.559,0.429,0.803,5,0.498,0.056,0.427,0.025,0.613,0.143
300,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.488,0.511,0.467,4,0.429,0.458,0.403,5,0.516,0.463,0.583,6,0.478,0.036,0.477,0.024,0.484,0.074
400,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.497,0.546,0.457,4,0.432,0.419,0.447,4,0.507,0.492,0.523,4,0.479,0.033,0.486,0.052,0.476,0.034
500,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.488,0.553,0.437,3,0.426,0.489,0.377,4,0.482,0.511,0.457,4,0.465,0.028,0.518,0.027,0.424,0.034
600,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.532,0.607,0.473,3,0.462,0.559,0.393,3,0.524,0.539,0.51,4,0.506,0.031,0.568,0.029,0.459,0.049
700,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.53,0.602,0.473,3,0.543,0.644,0.47,3,0.553,0.583,0.527,3,0.542,0.009,0.61,0.025,0.49,0.026
800,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.531,0.604,0.473,3,0.573,0.59,0.557,3,0.581,0.634,0.537,3,0.562,0.022,0.609,0.018,0.522,0.036
900,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.56,0.626,0.507,3,0.605,0.645,0.57,3,0.604,0.691,0.537,3,0.59,0.021,0.654,0.027,0.538,0.026
1000,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.544,0.667,0.46,2,0.618,0.7,0.553,3,0.625,0.677,0.58,3,0.596,0.037,0.681,0.014,0.531,0.051
1100,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.642,0.724,0.577,2,0.648,0.745,0.573,3,0.641,0.716,0.58,3,0.644,0.003,0.728,0.012,0.577,0.003
1200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.636,0.737,0.56,2,0.648,0.739,0.577,2,0.659,0.732,0.6,3,0.648,0.009,0.736,0.003,0.579,0.016
1300,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.685,0.725,0.65,2,0.64,0.741,0.563,2,0.67,0.754,0.603,3,0.665,0.019,0.74,0.012,0.605,0.036
1400,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.655,0.795,0.557,2,0.678,0.768,0.607,2,0.672,0.786,0.587,2,0.668,0.01,0.783,0.011,0.584,0.021
1500,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.663,0.726,0.61,2,0.716,0.788,0.657,2,0.7,0.764,0.647,2,0.693,0.022,0.759,0.026,0.638,0.02
1600,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.696,0.783,0.627,2,0.689,0.781,0.617,2,0.727,0.794,0.67,2,0.704,0.017,0.786,0.006,0.638,0.023
1700,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.694,0.782,0.623,2,0.701,0.785,0.633,2,0.723,0.825,0.643,2,0.706,0.012,0.797,0.02,0.633,0.008
1800,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.711,0.8,0.64,2,0.734,0.789,0.687,2,0.731,0.804,0.67,2,0.725,0.01,0.798,0.006,0.666,0.019
1900,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.734,0.831,0.657,2,0.734,0.802,0.677,2,0.739,0.81,0.68,2,0.736,0.002,0.814,0.012,0.671,0.01
2000,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.751,0.825,0.69,2,0.774,0.861,0.703,2,0.747,0.815,0.69,2,0.757,0.012,0.834,0.02,0.694,0.006
2100,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.728,0.833,0.647,2,0.769,0.854,0.7,2,0.74,0.794,0.693,2,0.746,0.017,0.827,0.025,0.68,0.024
2200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.756,0.841,0.687,2,0.768,0.835,0.71,2,0.769,0.809,0.733,2,0.764,0.006,0.828,0.014,0.71,0.019
