labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.249,0.178,0.414,0,0.295,0.213,0.477,0,0.32,0.206,0.714,0,0.288,0.029,0.199,0.015,0.535,0.129
100,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.014594279042615295, 0.9854057209573847]",0.304,0.264,0.359,5,0.279,0.36,0.227,8,0.343,0.351,0.336,7,0.309,0.026,0.325,0.043,0.307,0.058
200,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.028768699654775604, 0.9712313003452244]",0.408,0.367,0.459,4,0.43,0.415,0.445,4,0.473,0.423,0.536,4,0.437,0.027,0.402,0.025,0.48,0.04
300,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.04254112308564946, 0.9574588769143505]",0.443,0.425,0.464,3,0.465,0.418,0.523,3,0.503,0.576,0.445,4,0.47,0.025,0.473,0.073,0.477,0.033
400,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.05592841163310962, 0.9440715883668904]",0.455,0.447,0.464,3,0.431,0.53,0.364,3,0.568,0.598,0.541,3,0.485,0.06,0.525,0.062,0.456,0.072
500,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06894649751792609, 0.9310535024820739]",0.447,0.432,0.464,3,0.482,0.607,0.4,3,0.579,0.641,0.527,3,0.503,0.056,0.56,0.092,0.464,0.052
600,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.08161044613710555, 0.9183895538628944]",0.511,0.538,0.486,3,0.505,0.6,0.436,3,0.611,0.619,0.605,3,0.542,0.049,0.586,0.035,0.509,0.071
700,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.0939345142243693, 0.9060654857756307]",0.525,0.523,0.527,3,0.547,0.569,0.527,2,0.645,0.65,0.641,3,0.572,0.052,0.581,0.052,0.565,0.054
800,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.1059322033898305, 0.8940677966101694]",0.616,0.648,0.586,3,0.568,0.675,0.491,2,0.683,0.743,0.632,2,0.622,0.047,0.689,0.04,0.57,0.059
900,abt_buy,Transfer Learning,amazon_google,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.11761630946157867, 0.8823836905384214]",0.615,0.636,0.595,3,0.616,0.699,0.55,2,0.667,0.695,0.641,2,0.633,0.024,0.677,0.029,0.595,0.037
