labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
20,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.06,0.209,0.035,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.02,0.028,0.07,0.099,0.012,0.016
120,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.158,0.292,0.108,3,0.342,0.233,0.645,4,0.25,0.16,0.564,8,0.25,0.075,0.228,0.054,0.439,0.236
220,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.256,0.382,0.193,3,0.334,0.262,0.459,4,0.304,0.234,0.432,6,0.298,0.032,0.293,0.064,0.361,0.12
320,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.267,0.431,0.193,3,0.376,0.287,0.544,5,0.31,0.266,0.371,5,0.318,0.045,0.328,0.073,0.369,0.143
420,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.379,0.464,0.32,3,0.426,0.359,0.525,4,0.368,0.326,0.421,5,0.391,0.025,0.383,0.059,0.422,0.084
520,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.43,0.534,0.359,3,0.412,0.364,0.475,4,0.41,0.424,0.398,4,0.417,0.009,0.441,0.07,0.411,0.048
620,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.53,0.552,0.51,3,0.44,0.475,0.409,4,0.35,0.444,0.29,4,0.44,0.073,0.49,0.045,0.403,0.09
720,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.54,0.62,0.479,3,0.468,0.553,0.405,4,0.447,0.493,0.409,3,0.485,0.04,0.555,0.052,0.431,0.034
820,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.598,0.572,0.625,2,0.518,0.569,0.475,3,0.471,0.529,0.425,3,0.529,0.052,0.557,0.02,0.508,0.085
920,amazon_google,Random Sample 20,,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.546,0.672,0.459,2,0.527,0.564,0.494,3,0.567,0.612,0.529,3,0.547,0.016,0.616,0.044,0.494,0.029
