labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.357,0.27,0.529,0,0.369,0.295,0.49,0,0.361,0.278,0.514,0,0.362,0.005,0.281,0.01,0.511,0.016
100,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.363,0.264,0.583,4,0.333,0.288,0.394,4,0.342,0.292,0.413,3,0.346,0.013,0.281,0.012,0.463,0.085
200,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.364,0.299,0.467,4,0.355,0.433,0.301,4,0.402,0.456,0.359,3,0.374,0.02,0.396,0.069,0.376,0.069
300,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.403,0.427,0.382,3,0.435,0.498,0.386,3,0.405,0.333,0.517,3,0.414,0.015,0.419,0.068,0.428,0.063
400,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.458,0.525,0.405,3,0.474,0.578,0.402,3,0.453,0.485,0.425,3,0.462,0.009,0.529,0.038,0.411,0.01
500,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.49,0.548,0.444,3,0.502,0.623,0.421,3,0.486,0.537,0.444,2,0.493,0.007,0.569,0.038,0.436,0.011
600,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.488,0.542,0.444,3,0.514,0.624,0.436,2,0.506,0.576,0.452,2,0.503,0.011,0.581,0.034,0.444,0.007
700,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.501,0.589,0.436,2,0.558,0.648,0.49,2,0.534,0.52,0.548,2,0.531,0.023,0.586,0.052,0.491,0.046
800,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.583,0.613,0.556,2,0.567,0.687,0.483,2,0.553,0.593,0.517,2,0.568,0.012,0.631,0.04,0.519,0.03
900,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.564,0.665,0.49,2,0.592,0.706,0.51,2,0.625,0.625,0.625,2,0.594,0.025,0.665,0.033,0.542,0.059
1000,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.582,0.631,0.541,2,0.637,0.697,0.587,2,0.595,0.673,0.533,2,0.605,0.023,0.667,0.027,0.554,0.024
1100,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.629,0.667,0.595,2,0.627,0.69,0.575,2,0.601,0.676,0.541,2,0.619,0.013,0.678,0.009,0.57,0.022
1200,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.603,0.67,0.548,2,0.63,0.707,0.568,2,0.641,0.68,0.606,2,0.625,0.016,0.686,0.016,0.574,0.024
1300,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.625,0.702,0.564,2,0.655,0.724,0.598,2,0.66,0.74,0.595,2,0.647,0.015,0.722,0.016,0.586,0.015
1400,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.63,0.727,0.556,2,0.667,0.709,0.629,2,0.685,0.751,0.629,2,0.661,0.023,0.729,0.017,0.605,0.034
1500,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.662,0.742,0.598,2,0.671,0.729,0.622,2,0.684,0.714,0.656,2,0.672,0.009,0.728,0.011,0.625,0.024
1600,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.678,0.719,0.641,2,0.676,0.721,0.637,2,0.671,0.757,0.602,2,0.675,0.003,0.732,0.017,0.627,0.018
1700,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.67,0.76,0.598,2,0.669,0.736,0.614,2,0.7,0.726,0.676,2,0.68,0.014,0.741,0.014,0.629,0.034
1800,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.672,0.732,0.622,2,0.701,0.741,0.664,2,0.723,0.741,0.707,2,0.699,0.021,0.738,0.004,0.664,0.035
1900,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.695,0.734,0.66,2,0.685,0.74,0.637,2,0.734,0.755,0.714,2,0.705,0.021,0.743,0.009,0.67,0.032
2000,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.648,0.741,0.575,2,0.689,0.744,0.641,2,0.736,0.769,0.707,2,0.691,0.036,0.751,0.013,0.641,0.054
