labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.363,0.302,0.456,0,"[0, 0, 0, 0]",0.345,0.293,0.421,0,"[0, 0, 0, 0]",0.325,0.275,0.398,0,"[0, 0, 0, 0]",0.344,0.016,0.29,0.011,0.425,0.024
100,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.366,0.347,0.386,2,"[48, 29, 2, 21]",0.332,0.325,0.34,2,"[48, 37, 2, 13]",0.299,0.333,0.27,2,"[49, 35, 1, 15]",0.332,0.027,0.335,0.009,0.332,0.048
200,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.413,0.386,0.444,2,"[49, 28, 1, 22]",0.402,0.388,0.417,2,"[49, 37, 1, 13]",0.31,0.469,0.232,2,"[48, 37, 2, 13]",0.375,0.046,0.414,0.039,0.364,0.094
300,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.427,0.466,0.394,2,"[46, 26, 4, 24]",0.41,0.453,0.375,2,"[49, 32, 1, 18]",0.333,0.469,0.259,2,"[44, 32, 6, 18]",0.39,0.041,0.463,0.007,0.343,0.06
400,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.483,0.5,0.467,2,"[48, 24, 2, 26]",0.437,0.503,0.386,2,"[42, 28, 8, 22]",0.363,0.538,0.274,2,"[44, 23, 6, 27]",0.428,0.049,0.514,0.017,0.376,0.079
500,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.517,0.517,0.517,2,"[48, 19, 2, 31]",0.468,0.546,0.409,2,"[49, 25, 1, 25]",0.416,0.527,0.344,2,"[48, 22, 2, 28]",0.467,0.041,0.53,0.012,0.423,0.071
600,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.519,0.493,0.548,2,"[50, 16, 0, 34]",0.504,0.559,0.459,2,"[46, 15, 4, 35]",0.504,0.565,0.456,2,"[48, 19, 2, 31]",0.509,0.007,0.539,0.033,0.488,0.043
700,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.497,0.512,0.483,2,"[44, 13, 6, 37]",0.516,0.559,0.479,2,"[46, 10, 4, 40]",0.463,0.578,0.386,2,"[48, 17, 2, 33]",0.492,0.022,0.55,0.028,0.449,0.045
800,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.522,0.539,0.506,2,"[49, 10, 1, 40]",0.55,0.53,0.571,2,"[50, 12, 0, 38]",0.547,0.652,0.471,2,"[43, 12, 7, 38]",0.54,0.013,0.574,0.056,0.516,0.041
900,amazon_google,Transfer Learning,abt_buy,True,True,20,100,hybrid,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.521,0.571,0.479,2,"[46, 18, 4, 32]",0.58,0.559,0.602,2,"[47, 10, 3, 40]",0.594,0.66,0.541,2,"[50, 6, 0, 44]",0.565,0.032,0.597,0.045,0.541,0.05
