Dataset,Method,Date,Train Size,F1,Precision,Recall,Runtime,Attr.Summarizer,Attr.Comparator,Embeddings,Epochs,Batch Size,Pos.Neg.Ratio
wdc_phones,Passive Learing,25.07.2021,200,0.732,0.625,0.882,76.457,rnn,abs-diff,fasttext.en.bin,20,20,8
wdc_phones,Passive Learing,25.07.2021,200,0.677,0.557,0.863,68.829,rnn,abs-diff,fasttext.en.bin,20,20,7
wdc_phones,Passive Learing,25.07.2021,200,0.662,0.516,0.922,66.988,rnn,abs-diff,fasttext.en.bin,20,20,8
wdc_phones,Passive Learing,25.07.2021,100,0.508,0.348,0.941,37.796,rnn,abs-diff,fasttext.en.bin,20,20,8
wdc_phones,Passive Learing,25.07.2021,100,0.472,0.319,0.902,36.645,rnn,abs-diff,fasttext.en.bin,20,20,8
wdc_phones,Passive Learing,25.07.2021,100,0.56,0.402,0.922,36.0,rnn,abs-diff,fasttext.en.bin,20,20,4
wdc_headphones,Passive Learing,25.07.2021,200,0.771,0.656,0.933,76.918,rnn,abs-diff,fasttext.en.bin,20,20,6
wdc_headphones,Passive Learing,25.07.2021,200,0.762,0.667,0.889,74.534,rnn,abs-diff,fasttext.en.bin,20,20,5
wdc_headphones,Passive Learing,25.07.2021,200,0.8,0.7,0.933,74.924,rnn,abs-diff,fasttext.en.bin,20,20,5
wdc_headphones,Passive Learing,25.07.2021,100,0.532,0.394,0.822,40.743,rnn,abs-diff,fasttext.en.bin,20,20,7
wdc_headphones,Passive Learing,25.07.2021,100,0.497,0.345,0.889,39.691,rnn,abs-diff,fasttext.en.bin,20,20,5
wdc_headphones,Passive Learing,25.07.2021,100,0.562,0.434,0.8,39.14,rnn,abs-diff,fasttext.en.bin,20,20,6
amazon_google,Passive Learing,25.07.2021,2000,0.572,0.496,0.676,420.577,hybrid,abs-diff,fasttext.en.bin,20,20,5
amazon_google,Passive Learing,25.07.2021,2000,0.468,0.345,0.73,419.572,hybrid,abs-diff,fasttext.en.bin,20,20,6
amazon_google,Passive Learing,25.07.2021,2000,0.634,0.65,0.618,419.399,hybrid,abs-diff,fasttext.en.bin,20,20,5
amazon_google,Passive Learing,25.07.2021,1000,0.393,0.321,0.506,212.589,hybrid,abs-diff,fasttext.en.bin,20,20,6
amazon_google,Passive Learing,25.07.2021,1000,0.484,0.375,0.68,214.542,hybrid,abs-diff,fasttext.en.bin,20,20,5
amazon_google,Passive Learing,25.07.2021,1000,0.449,0.423,0.479,212.379,hybrid,abs-diff,fasttext.en.bin,20,20,6
