labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.821,0.799,0.843,0,0.831,0.831,0.83,0,0.814,0.82,0.809,0,0.822,0.007,0.817,0.013,0.827,0.014
100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.882,0.849,0.917,1,0.846,0.775,0.932,2,0.863,0.905,0.824,1,0.864,0.015,0.843,0.053,0.891,0.048
200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.906,0.92,0.892,1,0.89,0.863,0.919,2,0.909,0.922,0.896,1,0.902,0.008,0.902,0.027,0.902,0.012
300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.919,0.889,0.951,1,0.911,0.879,0.945,2,0.917,0.957,0.881,1,0.916,0.003,0.908,0.035,0.926,0.032
400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.933,0.949,0.917,1,0.922,0.926,0.919,2,0.94,0.948,0.932,1,0.932,0.007,0.941,0.011,0.923,0.007
500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.941,0.946,0.936,1,0.939,0.951,0.926,2,0.932,0.911,0.953,1,0.937,0.004,0.936,0.018,0.938,0.011
600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.942,0.947,0.938,1,0.947,0.949,0.945,1,0.936,0.953,0.919,1,0.942,0.004,0.95,0.002,0.934,0.011
700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.938,0.929,0.947,1,0.946,0.94,0.953,1,0.928,0.903,0.955,1,0.937,0.007,0.924,0.016,0.952,0.003
800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.942,0.976,0.911,1,0.951,0.958,0.945,1,0.953,0.965,0.941,1,0.949,0.005,0.966,0.007,0.932,0.015
900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.953,0.954,0.951,1,0.952,0.958,0.947,1,0.954,0.965,0.943,1,0.953,0.001,0.959,0.005,0.947,0.003
1000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.957,0.967,0.947,1,0.952,0.961,0.943,1,0.949,0.951,0.947,1,0.953,0.003,0.96,0.007,0.946,0.002
1100,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.948,0.959,0.938,1,0.952,0.963,0.941,1,0.949,0.951,0.947,1,0.95,0.002,0.958,0.005,0.942,0.004
1200,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.943,0.968,0.919,1,0.946,0.957,0.936,1,0.95,0.946,0.955,1,0.946,0.003,0.957,0.009,0.937,0.015
1300,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.96,0.96,0.96,1,0.958,0.95,0.966,1,0.941,0.953,0.928,1,0.953,0.009,0.954,0.004,0.951,0.017
1400,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.96,0.971,0.949,1,0.954,0.971,0.938,1,0.938,0.928,0.949,1,0.951,0.009,0.957,0.02,0.945,0.005
1500,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.961,0.969,0.953,1,0.952,0.958,0.947,1,0.941,0.945,0.938,1,0.951,0.008,0.957,0.01,0.946,0.006
1600,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.952,0.965,0.94,1,0.962,0.964,0.96,1,0.936,0.941,0.932,1,0.95,0.011,0.957,0.011,0.944,0.012
1700,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.956,0.965,0.947,1,0.949,0.961,0.938,1,0.943,0.945,0.941,1,0.949,0.005,0.957,0.009,0.942,0.004
1800,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.954,0.96,0.949,1,0.961,0.967,0.955,1,0.947,0.956,0.938,1,0.954,0.006,0.961,0.005,0.947,0.007
1900,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.949,0.961,0.938,1,0.956,0.967,0.945,1,0.942,0.942,0.943,1,0.949,0.006,0.957,0.011,0.942,0.003
2000,dbpedia_dnb,Transfer Learning,dbpedia_viaf,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.955,0.96,0.951,1,0.959,0.964,0.955,1,0.935,0.942,0.928,1,0.95,0.01,0.955,0.01,0.945,0.012
