labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.863,0.824,0.906,0,"[0, 0, 0, 0]",0.843,0.794,0.9,0,"[0, 0, 0, 0]",0.831,0.769,0.904,0,"[0, 0, 0, 0]",0.846,0.013,0.796,0.022,0.903,0.002
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.916,0.911,0.92,1,"[49, 0, 1, 50]",0.923,0.934,0.912,1,"[50, 1, 0, 49]",0.924,0.955,0.895,1,"[50, 1, 0, 49]",0.921,0.004,0.933,0.018,0.909,0.01
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.935,0.957,0.914,1,"[50, 0, 0, 50]",0.942,0.943,0.94,1,"[50, 1, 0, 49]",0.926,0.949,0.904,1,"[50, 0, 0, 50]",0.934,0.007,0.95,0.006,0.919,0.015
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.951,0.961,0.94,1,"[50, 0, 0, 50]",0.946,0.951,0.94,1,"[50, 0, 0, 50]",0.94,0.928,0.951,1,"[50, 0, 0, 50]",0.946,0.004,0.947,0.014,0.944,0.005
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.946,0.967,0.926,1,"[48, 0, 2, 50]",0.957,0.963,0.95,1,"[49, 0, 1, 50]",0.95,0.958,0.942,1,"[50, 0, 0, 50]",0.951,0.005,0.963,0.004,0.939,0.01
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.949,0.933,0.965,1,"[49, 0, 1, 50]",0.955,0.962,0.948,1,"[49, 0, 1, 50]",0.95,0.967,0.932,1,"[50, 0, 0, 50]",0.951,0.003,0.954,0.015,0.948,0.013
600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.957,0.95,0.964,1,"[48, 0, 2, 50]",0.943,0.961,0.926,1,"[49, 0, 1, 50]",0.95,0.948,0.951,1,"[49, 0, 1, 50]",0.95,0.006,0.953,0.006,0.947,0.016
700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.963,0.971,0.954,1,"[49, 0, 1, 50]",0.955,0.957,0.953,1,"[50, 0, 0, 50]",0.953,0.946,0.961,1,"[50, 0, 0, 50]",0.957,0.004,0.958,0.01,0.956,0.004
800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.963,0.968,0.958,1,"[50, 0, 0, 50]",0.953,0.95,0.956,1,"[50, 1, 0, 49]",0.96,0.962,0.958,1,"[50, 0, 0, 50]",0.959,0.004,0.96,0.007,0.957,0.001
900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.957,0.961,0.954,1,"[49, 0, 1, 50]",0.967,0.97,0.964,1,"[49, 0, 1, 50]",0.962,0.971,0.953,1,"[50, 0, 0, 50]",0.962,0.004,0.967,0.004,0.957,0.005
