labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.856,0.815,0.901,0,0.878,0.878,0.879,0,0.883,0.909,0.859,0,0.872,0.012,0.867,0.039,0.88,0.017
100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.00785916378497328, 0.9921408362150267]",0.801,0.793,0.81,1,0.72,0.709,0.732,1,0.736,0.766,0.708,1,0.752,0.035,0.756,0.035,0.75,0.044
200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.015595757953836557, 0.9844042420461634]",0.913,0.898,0.928,2,0.928,0.936,0.92,2,0.925,0.955,0.896,1,0.922,0.006,0.93,0.024,0.915,0.014
300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.02321262766945218, 0.9767873723305478]",0.914,0.942,0.889,2,0.949,0.972,0.928,1,0.94,0.94,0.94,1,0.934,0.015,0.951,0.015,0.919,0.022
400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.030712530712530713, 0.9692874692874693]",0.94,0.943,0.937,2,0.944,0.926,0.962,1,0.933,0.908,0.959,1,0.939,0.005,0.926,0.014,0.953,0.011
500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.03809814081072844, 0.9619018591892715]",0.955,0.965,0.945,2,0.959,0.974,0.943,1,0.958,0.963,0.953,1,0.957,0.002,0.967,0.005,0.947,0.004
600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.045372050816696916, 0.9546279491833031]",0.957,0.962,0.951,1,0.954,0.975,0.934,1,0.963,0.974,0.953,1,0.958,0.004,0.97,0.006,0.946,0.009
700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.05253677574302011, 0.9474632242569799]",0.961,0.967,0.954,1,0.959,0.949,0.969,1,0.965,0.976,0.954,1,0.962,0.002,0.964,0.011,0.959,0.007
800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.05959475566150179, 0.9404052443384983]",0.959,0.961,0.958,1,0.965,0.971,0.959,1,0.963,0.948,0.978,1,0.962,0.002,0.96,0.009,0.965,0.009
900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06654835847382432, 0.9334516415261757]",0.965,0.977,0.953,1,0.971,0.982,0.961,1,0.97,0.976,0.964,1,0.969,0.003,0.978,0.003,0.959,0.005
1000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.07339988256018791, 0.9266001174398121]",0.961,0.973,0.95,1,0.967,0.978,0.958,1,0.962,0.959,0.965,1,0.963,0.003,0.97,0.008,0.958,0.006
1100,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.0801515593121539, 0.9198484406878461]",0.96,0.959,0.961,1,0.968,0.97,0.965,1,0.975,0.984,0.967,1,0.968,0.006,0.971,0.01,0.964,0.002
1200,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.08680555555555555, 0.9131944444444444]",0.963,0.971,0.954,1,0.975,0.984,0.967,1,0.969,0.97,0.967,1,0.969,0.005,0.975,0.006,0.963,0.006
1300,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.09336397586900316, 0.9066360241309969]",0.959,0.968,0.95,1,0.969,0.99,0.948,1,0.969,0.964,0.973,1,0.966,0.005,0.974,0.011,0.957,0.011
1400,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.09982886480319453, 0.9001711351968055]",0.964,0.973,0.956,1,0.971,0.982,0.961,1,0.969,0.97,0.967,1,0.968,0.003,0.975,0.005,0.961,0.004
1500,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.10620220900594732, 0.8937977909940527]",0.97,0.972,0.969,1,0.975,0.984,0.967,1,0.966,0.976,0.956,1,0.97,0.004,0.977,0.005,0.964,0.006
1600,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.1124859392575928, 0.8875140607424072]",0.966,0.977,0.954,1,0.969,0.978,0.961,1,0.969,0.976,0.962,1,0.968,0.001,0.977,0.001,0.959,0.004
1700,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.11868193242111143, 0.8813180675788885]",0.966,0.967,0.965,1,0.975,0.982,0.969,1,0.97,0.969,0.972,1,0.97,0.004,0.973,0.007,0.969,0.003
1800,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.12479201331114809, 0.8752079866888519]",0.965,0.981,0.95,1,0.974,0.987,0.961,1,0.972,0.975,0.969,1,0.97,0.004,0.981,0.005,0.96,0.008
1900,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.13081795648581657, 0.8691820435141834]",0.967,0.979,0.954,1,0.975,0.986,0.965,1,0.971,0.982,0.959,1,0.971,0.003,0.982,0.003,0.959,0.004
2000,dbpedia_viaf,Transfer Learning,dbpedia_dnb,True,True,20,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.13676148796498905, 0.8632385120350109]",0.97,0.985,0.954,1,0.975,0.982,0.967,1,0.977,0.99,0.964,1,0.974,0.003,0.986,0.003,0.962,0.006
