# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_include_source
0,0.430 (0.015),0.631 (0.017),0.629 (0.005),0.633 (0.017)
100,0.502 (0.033),0.640 (0.010),0.614 (0.006),0.606 (0.026)
200,0.557 (0.015),0.632 (0.008),0.618 (0.006),0.643 (0.013)
300,0.573 (0.018),0.643 (0.002),0.627 (0.005),0.672 (0.022)
400,0.559 (0.028),0.645 (0.021),0.665 (0.016),0.688 (0.022)
500,0.585 (0.011),0.664 (0.013),0.656 (0.011),0.713 (0.029)
600,0.585 (0.007),0.682 (0.011),0.685 (0.008),0.723 (0.002)
700,0.593 (0.011),0.678 (0.019),0.688 (0.009),0.730 (0.023)
800,0.599 (0.013),0.706 (0.017),0.702 (0.005),0.749 (0.015)
900,0.623 (0.015),0.717 (0.022),0.703 (0.004),0.755 (0.006)
1000,0.641 (0.025),0.715 (0.024),0.710 (0.005),0.757 (0.008)
1100,0.652 (0.014),0.717 (0.005),0.733 (0.008),0.767 (0.012)
1200,0.651 (0.007),0.721 (0.005),0.720 (0.009),0.767 (0.020)
1300,0.666 (0.005),0.727 (0.017),0.721 (0.003),0.774 (0.012)
1400,0.672 (0.003),0.742 (0.008),0.734 (0.002),0.791 (0.020)
1500,0.681 (0.019),0.738 (0.020),0.734 (0.009),0.793 (0.021)
1600,0.693 (0.008),0.754 (0.014),0.749 (0.015),0.783 (0.007)
1700,0.708 (0.013),0.752 (0.022),0.749 (0.020),0.791 (0.005)
1800,0.688 (0.018),0.756 (0.018),0.758 (0.007),0.801 (0.008)
1900,0.697 (0.017),0.770 (0.015),0.759 (0.020),0.806 (0.013)
2000,0.707 (0.001),0.772 (0.012),0.759 (0.017),0.818 (0.006)
