labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.314,0.196,0.8,0,"[0, 0, 0, 0]",0.297,0.181,0.822,0,"[0, 0, 0, 0]",0.257,0.156,0.733,0,"[0, 0, 0, 0]",0.289,0.024,0.178,0.016,0.785,0.038
20,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.333,0.394,0.289,3,"[9, 6, 1, 4]",0.319,0.306,0.333,3,"[10, 6, 0, 4]",0.242,0.239,0.244,1,"[0, 6, 10, 4]",0.298,0.04,0.313,0.063,0.289,0.036
40,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.329,0.429,0.267,3,"[10, 6, 0, 4]",0.432,0.442,0.422,4,"[10, 5, 0, 5]",0.568,0.54,0.6,2,"[7, 5, 3, 5]",0.443,0.098,0.47,0.05,0.43,0.136
60,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.511,0.511,0.511,3,"[9, 6, 1, 4]",0.417,0.556,0.333,5,"[7, 5, 3, 5]",0.6,0.686,0.533,2,"[10, 2, 0, 8]",0.509,0.075,0.584,0.074,0.459,0.09
80,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.507,0.692,0.4,3,"[10, 2, 0, 8]",0.4,0.65,0.289,3,"[10, 4, 0, 6]",0.723,0.694,0.756,2,"[10, 1, 0, 9]",0.543,0.134,0.679,0.02,0.482,0.199
100,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.529,0.783,0.4,2,"[3, 1, 7, 9]",0.361,0.688,0.244,3,"[10, 2, 0, 8]",0.642,0.557,0.756,2,"[10, 1, 0, 9]",0.511,0.115,0.676,0.093,0.467,0.214
120,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.613,0.767,0.511,2,"[10, 3, 0, 7]",0.387,0.706,0.267,3,"[10, 3, 0, 7]",0.675,0.737,0.622,2,"[10, 1, 0, 9]",0.558,0.124,0.737,0.025,0.467,0.148
140,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.568,0.639,0.511,2,"[10, 2, 0, 8]",0.438,0.737,0.311,2,"[10, 2, 0, 8]",0.76,0.691,0.844,2,"[10, 2, 0, 8]",0.589,0.132,0.689,0.04,0.555,0.22
160,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.612,0.65,0.578,2,"[9, 2, 1, 8]",0.545,0.656,0.467,2,"[10, 3, 0, 7]",0.7,0.636,0.778,2,"[10, 2, 0, 8]",0.619,0.063,0.647,0.008,0.608,0.129
180,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.642,0.722,0.578,2,"[6, 2, 4, 8]",0.586,0.537,0.644,2,"[10, 3, 0, 7]",0.791,0.783,0.8,2,"[10, 2, 0, 8]",0.673,0.087,0.681,0.105,0.674,0.093
200,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.667,0.75,0.6,2,"[10, 3, 0, 7]",0.739,0.723,0.756,2,"[8, 5, 2, 5]",0.8,0.8,0.8,2,"[10, 1, 0, 9]",0.735,0.054,0.758,0.032,0.719,0.086
