labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.268,0.165,0.711,0,0.3,0.191,0.689,0,0.31,0.191,0.822,0,0.293,0.018,0.182,0.012,0.741,0.058
20,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.32,0.2,0.8,9,0.264,0.16,0.756,9,0.357,0.244,0.667,9,0.314,0.038,0.201,0.034,0.741,0.055
40,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.324,0.206,0.756,12,0.356,0.356,0.356,12,0.286,0.308,0.267,12,0.322,0.029,0.29,0.063,0.46,0.213
60,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.447,0.294,0.933,11,0.468,0.449,0.489,11,0.457,0.447,0.467,6,0.457,0.009,0.397,0.073,0.63,0.215
80,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.467,0.373,0.622,12,0.512,0.537,0.489,4,0.437,0.452,0.422,6,0.472,0.031,0.454,0.067,0.511,0.083
100,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.526,0.374,0.889,9,0.585,0.649,0.533,5,0.472,0.477,0.467,4,0.528,0.046,0.5,0.113,0.63,0.185
120,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.597,0.449,0.889,10,0.585,0.649,0.533,5,0.598,0.558,0.644,3,0.593,0.006,0.552,0.082,0.689,0.149
140,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.655,0.527,0.867,7,0.625,0.714,0.556,5,0.635,0.559,0.733,2,0.638,0.012,0.6,0.082,0.719,0.127
160,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.679,0.59,0.8,7,0.633,0.735,0.556,3,0.594,0.536,0.667,2,0.635,0.035,0.62,0.084,0.674,0.1
180,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.678,0.557,0.867,5,0.651,0.711,0.6,3,0.629,0.636,0.622,2,0.653,0.02,0.635,0.063,0.696,0.121
200,wdc_headphones,Transfer Learning,wdc_phones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.667,0.571,0.8,5,0.65,0.743,0.578,3,0.617,0.592,0.644,2,0.645,0.021,0.635,0.077,0.674,0.093
