# Labeled Examples,al_random_init,al_tl,al_tl_da,al_tl_include_source
0,0.327 (0.096),0.293 (0.018),0.289 (0.024),0.249 (0.013)
20,0.442 (0.046),0.314 (0.038),0.298 (0.040),0.314 (0.051)
40,0.512 (0.035),0.322 (0.029),0.443 (0.098),0.465 (0.081)
60,0.624 (0.106),0.457 (0.009),0.509 (0.075),0.526 (0.032)
80,0.731 (0.112),0.472 (0.031),0.543 (0.134),0.601 (0.046)
100,0.793 (0.110),0.528 (0.046),0.511 (0.115),0.626 (0.025)
120,0.837 (0.062),0.593 (0.006),0.558 (0.124),0.680 (0.027)
140,0.843 (0.057),0.638 (0.012),0.589 (0.132),0.663 (0.006)
160,0.884 (0.047),0.635 (0.035),0.619 (0.063),0.739 (0.029)
180,0.902 (0.034),0.653 (0.020),0.673 (0.087),0.737 (0.031)
200,0.918 (0.039),0.645 (0.021),0.735 (0.054),0.731 (0.024)
