labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.214,0.123,0.804,0,"[0, 0, 0, 0]",0.227,0.132,0.784,0,"[0, 0, 0, 0]",0.227,0.133,0.765,0,"[0, 0, 0, 0]",0.223,0.006,0.129,0.004,0.784,0.016
20,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.304,0.211,0.549,2,"[8, 9, 2, 1]",0.314,0.202,0.706,3,"[8, 10, 2, 0]",0.255,0.154,0.745,2,"[6, 10, 4, 0]",0.291,0.026,0.189,0.025,0.667,0.085
40,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.323,0.211,0.686,3,"[10, 9, 0, 1]",0.264,0.194,0.412,4,"[10, 10, 0, 0]",0.348,0.244,0.608,3,"[10, 10, 0, 0]",0.312,0.035,0.216,0.021,0.569,0.115
60,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.353,0.252,0.588,4,"[10, 9, 0, 1]",0.296,0.231,0.412,4,"[10, 10, 0, 0]",0.332,0.215,0.725,3,"[10, 10, 0, 0]",0.327,0.024,0.233,0.015,0.575,0.128
80,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.393,0.279,0.667,4,"[10, 8, 0, 2]",0.292,0.233,0.392,3,"[10, 10, 0, 0]",0.368,0.242,0.765,4,"[10, 10, 0, 0]",0.351,0.043,0.251,0.02,0.608,0.158
100,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.378,0.293,0.529,4,"[8, 5, 2, 5]",0.372,0.264,0.627,3,"[10, 9, 0, 1]",0.384,0.27,0.667,4,"[10, 10, 0, 0]",0.378,0.005,0.276,0.012,0.608,0.058
120,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.328,0.265,0.431,3,"[6, 1, 4, 9]",0.37,0.27,0.588,4,"[10, 4, 0, 6]",0.377,0.266,0.647,4,"[9, 7, 1, 3]",0.358,0.022,0.267,0.002,0.555,0.091
140,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.355,0.339,0.373,3,"[9, 0, 1, 10]",0.354,0.271,0.51,3,"[9, 5, 1, 5]",0.37,0.262,0.627,4,"[10, 10, 0, 0]",0.36,0.007,0.291,0.034,0.503,0.104
160,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.371,0.391,0.353,3,"[10, 2, 0, 8]",0.364,0.296,0.471,3,"[10, 3, 0, 7]",0.438,0.337,0.627,3,"[9, 10, 1, 0]",0.391,0.033,0.341,0.039,0.484,0.112
180,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.421,0.455,0.392,3,"[10, 5, 0, 5]",0.367,0.263,0.608,3,"[8, 6, 2, 4]",0.398,0.291,0.627,3,"[10, 10, 0, 0]",0.395,0.022,0.336,0.085,0.542,0.107
200,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.416,0.42,0.412,3,"[10, 4, 0, 6]",0.387,0.293,0.569,3,"[10, 0, 0, 10]",0.376,0.286,0.549,3,"[10, 2, 0, 8]",0.393,0.017,0.333,0.062,0.51,0.07
