labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.223,0.13,0.784,0,0.235,0.135,0.902,0,0.246,0.145,0.824,0,0.235,0.009,0.137,0.006,0.837,0.049
20,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.261,0.196,0.392,1,0.28,0.165,0.902,6,0.264,0.158,0.804,19,0.268,0.008,0.173,0.017,0.699,0.221
40,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.204,0.163,0.275,12,0.288,0.171,0.922,7,0.289,0.173,0.882,9,0.26,0.04,0.169,0.004,0.693,0.296
60,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.318,0.215,0.608,14,0.314,0.188,0.941,11,0.281,0.177,0.686,8,0.304,0.017,0.193,0.016,0.745,0.142
80,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.241,0.195,0.314,15,0.296,0.176,0.941,9,0.309,0.21,0.588,6,0.282,0.029,0.194,0.014,0.614,0.257
100,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.304,0.224,0.471,12,0.336,0.205,0.922,10,0.31,0.22,0.529,6,0.317,0.014,0.216,0.008,0.641,0.2
120,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.199,0.142,0.333,12,0.333,0.204,0.902,11,0.284,0.222,0.392,5,0.272,0.055,0.189,0.034,0.542,0.255
140,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.273,0.176,0.608,11,0.34,0.212,0.863,13,0.302,0.239,0.412,5,0.305,0.027,0.209,0.026,0.628,0.185
160,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.361,0.28,0.51,8,0.358,0.226,0.863,11,0.389,0.368,0.412,5,0.369,0.014,0.291,0.059,0.595,0.194
180,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.383,0.333,0.451,7,0.338,0.206,0.941,10,0.393,0.375,0.412,5,0.371,0.024,0.305,0.072,0.601,0.241
200,wdc_phones,Transfer Learning,wdc_headphones,True,True,10,20,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,False,0.448,0.378,0.549,6,0.379,0.239,0.922,11,0.429,0.545,0.353,5,0.419,0.029,0.387,0.125,0.608,0.236
