labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 1: da labels,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 2: da labels,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,Run 3: da labels,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.526,0.416,0.717,0,"[0, 0, 0, 0]",0.535,0.412,0.763,0,"[0, 0, 0, 0]",0.526,0.419,0.703,0,"[0, 0, 0, 0]",0.529,0.005,0.416,0.004,0.728,0.031
100,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.486,0.504,0.47,2,"[47, 16, 3, 34]",0.338,0.494,0.257,2,"[45, 6, 5, 44]",0.426,0.459,0.397,2,"[48, 33, 2, 17]",0.417,0.074,0.486,0.024,0.375,0.108
200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.542,0.499,0.593,2,"[44, 8, 6, 42]",0.291,0.416,0.223,2,"[44, 8, 6, 42]",0.432,0.549,0.357,2,"[49, 16, 1, 34]",0.422,0.126,0.488,0.067,0.391,0.187
300,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.416,0.512,0.35,2,"[42, 27, 8, 23]",0.321,0.5,0.237,2,"[45, 0, 5, 50]",0.387,0.497,0.317,2,"[48, 10, 2, 40]",0.375,0.049,0.503,0.008,0.301,0.058
400,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.448,0.532,0.387,2,"[45, 13, 5, 37]",0.433,0.585,0.343,2,"[46, 2, 4, 48]",0.404,0.505,0.337,2,"[49, 8, 1, 42]",0.428,0.022,0.541,0.041,0.356,0.027
500,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.441,0.562,0.363,2,"[47, 3, 3, 47]",0.498,0.586,0.433,2,"[50, 3, 0, 47]",0.399,0.596,0.3,2,"[50, 2, 0, 48]",0.446,0.05,0.581,0.017,0.365,0.067
600,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.516,0.599,0.453,2,"[48, 1, 2, 49]",0.481,0.583,0.41,2,"[48, 0, 2, 50]",0.429,0.602,0.333,2,"[50, 1, 0, 49]",0.475,0.044,0.595,0.01,0.399,0.061
700,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.55,0.598,0.51,2,"[50, 2, 0, 48]",0.577,0.654,0.517,2,"[50, 14, 0, 36]",0.458,0.65,0.353,2,"[46, 1, 4, 49]",0.528,0.062,0.634,0.031,0.46,0.093
800,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.601,0.663,0.55,2,"[50, 3, 0, 47]",0.582,0.703,0.497,2,"[45, 2, 5, 48]",0.466,0.631,0.37,2,"[49, 0, 1, 50]",0.55,0.073,0.666,0.036,0.472,0.093
900,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,True,False,0,False,0.612,0.707,0.54,2,"[50, 1, 0, 49]",0.598,0.703,0.52,2,"[49, 2, 1, 48]",0.541,0.657,0.46,2,"[48, 0, 2, 50]",0.584,0.038,0.689,0.028,0.507,0.042
