labeled set size,Dataset,Initialization Method,Transfer Learning Dataset,Split Validation,Keep Model,AL Runs,Sampling Size,Attribute Summarizer,Attribute Comparator,Embeddings,Epochs,Batch Size,LR Decay,Data Augmentation,High.Conf.LS,DA Threshold,Include Source Data,sample weights,Run 1: f1,Run 1: precision,Run 1: recall,Run 1: pos_neg_ratio,Run 2: f1,Run 2: precision,Run 2: recall,Run 2: pos_neg_ratio,Run 3: f1,Run 3: precision,Run 3: recall,Run 3: pos_neg_ratio,F1 Mean,F1 Std,Precision Mean,Precision Std,Recall Mean,Recall Std
0,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0, 0]",0.532,0.394,0.82,0,0.548,0.438,0.73,0,0.547,0.424,0.77,0,0.542,0.007,0.419,0.018,0.773,0.037
100,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.01752745968684272, 0.9824725403131572]",0.498,0.338,0.947,5,0.505,0.384,0.737,7,0.489,0.438,0.553,6,0.497,0.007,0.387,0.041,0.746,0.161
200,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.034451079467156635, 0.9655489205328434]",0.549,0.461,0.677,7,0.487,0.462,0.513,7,0.47,0.418,0.537,5,0.502,0.034,0.447,0.021,0.576,0.072
300,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.05080153533529013, 0.9491984646647099]",0.519,0.466,0.587,4,0.442,0.426,0.46,5,0.482,0.488,0.477,5,0.481,0.031,0.46,0.026,0.508,0.056
400,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.06660746003552398, 0.933392539964476]",0.52,0.511,0.53,3,0.493,0.503,0.483,5,0.524,0.525,0.523,5,0.512,0.014,0.513,0.009,0.512,0.021
500,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.08189561039528281, 0.9181043896047172]",0.55,0.567,0.533,3,0.446,0.515,0.393,4,0.52,0.555,0.49,4,0.505,0.044,0.546,0.022,0.472,0.059
600,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.09669101847872798, 0.903308981521272]",0.577,0.596,0.56,3,0.461,0.551,0.397,4,0.56,0.59,0.533,4,0.533,0.051,0.579,0.02,0.497,0.071
700,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.1110171283569465, 0.8889828716430535]",0.512,0.64,0.427,3,0.514,0.594,0.453,4,0.532,0.598,0.48,3,0.519,0.009,0.611,0.021,0.453,0.022
800,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.12489592006661115, 0.8751040799333888]",0.524,0.628,0.45,3,0.535,0.646,0.457,4,0.581,0.648,0.527,3,0.547,0.025,0.641,0.009,0.478,0.035
900,watches,Transfer Learning,cameras,True,True,40,100,rnn,abs-diff,fasttext.en.bin,20,20,0.8,False,False,0,True,"[0.13834802213568353, 0.8616519778643165]",0.57,0.664,0.5,3,0.598,0.665,0.543,4,0.575,0.653,0.513,3,0.581,0.012,0.661,0.005,0.519,0.018
